DENUMIRE^CUI^ADR_JUDET^ADRESA
LAVINIA-COMINT SRL^342429^Bucureşti^Bucureşti Sectorul 3, Calea MOSILOR 38
J&J BEST SOLUTIONS S.R.L.^403089^Bucureşti^Bucureşti Sectorul 1, ION IONESCU DE LA BRAD 91-93
CIPRO SRL^17355^Bucureşti^Bucureşti Sectorul 6, Str. ALEXANDRU IACOBESCU 23
RELAX-SOPROCO-IMPEX SRL^1561524^Bucureşti^Bucureşti Sectorul 1, Str. ARDEALULUI 13
ELMA STAR TRADING SRL^5394690^Bucureşti^Bucureşti Sectorul 6, Str. PORUMBACU 5
COLUMBINA IMPORT EXPORT SRL^3576190^Bucureşti^Bucureşti Sectorul 3, Str. TANDAREI 2
LEIDA IMPEX SRL^4783118^Bucureşti^Bucureşti Sectorul 1, Nicolae Titulescu 163
DAG IMPEX SRL^4657047^Bucureşti^Bucureşti Sectorul 3, SG. ION ROTARU 1
AMC TRANS MULTICOM SRL^5282735^Bucureşti^Bucureşti Sectorul 6, Str. VALEA CALUGAREASCA 7
THEO COM SERVICE SRL^6104159^Bucureşti^Bucureşti Sectorul 6, Calea GIULESTI 127
DUBLU STICK SRL^10393233^Bucureşti^Bucureşti Sectorul 2, Str. DOAMNA GHICA 14
MOTORHOME SRL^11533513^Bucureşti^Bucureşti Sectorul 1, Str. Dr. Iacob Felix 53
ELUMATEC ROMANIA SRL^11831471^Bucureşti^Bucureşti Sectorul 1, Str. POLONA 86
MM PRODCOM '56 SRL^12997414^Bucureşti^Bucureşti Sectorul 6, Str. CUPOLEI 2-4
EEU SOFTWARE SRL^12961178^Bucureşti^Bucureşti Sectorul 1,  STR.GAVRIL MUZICESCU 3
OIL LAND INTERMED SRL^13185075^Bucureşti^Bucureşti Sectorul 2, Str. FABRICA DE GHEAŢĂ 2
GREEN-E CONCEPT SRL^14742549^Bucureşti^Bucureşti Sectorul 3, Str. LOTRIOARA 5
META SISTEM SRL^15801783^Bucureşti^Bucureşti Sectorul 6, APUSULUI 60-70
LAGUNA GENERAL SRL^15688235^Bucureşti^Bucureşti Sectorul 3, Str. Soldat Tina Petre 7
HORHOCEA MUGUREL PERSOANĂ FIZICĂ AUTORIZATĂ^19409309^Bucureşti^Bucureşti Sectorul 4, Str. Sg. Ilie David 6
R&I ACCOUNTING CONSULT SRL^15934623^Bucureşti^Bucureşti Sectorul 1, Str. Gîrlei 62 A
ANDREI GROUP SRL^16357809^Bucureşti^Bucureşti Sectorul 3, NICOLAE PASCU 10
NORTIA EDILITARE SRL^16154936^Bucureşti^Bucureşti Sectorul 2, Str. Turnul Eiffel 20
SOLEXFIN SRL^16504110^Bucureşti^Bucureşti Sectorul 4, B-dul GHEORGHE ŞINCAI 2
PUBLIC RELATIONS PEOPLE SRL^16217147^Bucureşti^Bucureşti Sectorul 3, CALOTEŞTI 2
SPECTRUM GRUP SRL^16352895^Bucureşti^Bucureşti Sectorul 6, Str. Pădurarilor 22
C&C FINEXPERT SRL^16649722^Bucureşti^Bucureşti Sectorul 6, Str. Sg. Constantin Moise 11
GLOBAL B.O.R. COMPANY SRL^16956301^Bucureşti^Bucureşti Sectorul 3, B-dul UNIRII 57
DENY SERV TRADING SRL^17263338^Bucureşti^Bucureşti Sectorul 3, Str. Sold. Tina Petre 11
I.C.T. TEHNO-TERM SRL^17380648^Bucureşti^Bucureşti Sectorul 4, Str. Dorohoi 8
2L HAIR MANAGEMENT SRL^17189576^Bucureşti^Bucureşti Sectorul 3, Str. Liviu Rebreanu 6
IDEAL CASA PERFECT SRL^17466146^Bucureşti^Bucureşti Sectorul 6, B-dul Iuliu Maniu 65
KIKI-DENT SRL^17770640^Bucureşti^Bucureşti Sectorul 3, Str. Brăiliţa 5
SMILYDENT FORMULA SRL^18095208^Bucureşti^Bucureşti Sectorul 2, Str. Maria Ghiculeasa 24
KARINA EUROTERM SRL^18389327^Bucureşti^Bucureşti Sectorul 4, Aleea Urucu Adrian 2
PLUGARU GHEORGHE PERSOANĂ FIZICĂ AUTORIZATĂ^25067596^Bucureşti^Bucureşti Sectorul 3, Str. Cîmpia Libertăţii 4
AISAN TIMA COM SRL^18913064^Bucureşti^Bucureşti Sectorul 6, Aleea Lunca Cernei 2
PEROFIN INDUSTRY SRL^18702032^Bucureşti^Bucureşti Sectorul 2, Sos. Fundeni 4
DANIELA COSTACHESCU - MEDICAL SRL^19019829^Bucureşti^Bucureşti Sectorul 2, AVRAM IANCU 26
DINCA S.MARIA PERSOANĂ FIZICĂ AUTORIZATĂ^21068831^Bucureşti^Bucureşti Sectorul 2, Str. Puiandrului 43
TEHNOTOOLS SERVICE AND DISTRIBUTION SRL^19706776^Bucureşti^Bucureşti Sectorul 1, Str. Elena Văcărescu 15A
K2 MAPTRANS SRL^20363221^Bucureşti^Bucureşti Sectorul 4, Calea Văcăreşti 234
M&N TOPO CAD SRL^21434428^Bucureşti^Bucureşti Sectorul 1, ION MIHALACHE 45
B. READY BS SRL^21849719^Bucureşti^Bucureşti Sectorul 2, Str. Herţa 13
INDEPENDENT OIL TOOLS SRL^21878226^Bucureşti^Bucureşti Sectorul 1, CHARLES DE GAULLE 15
NIK LUMI BEST SRL^21794940^Bucureşti^Bucureşti Sectorul 2, Str. Peisajului 20
