DENUMIRE^CUI^ADR_JUDET^ADRESA
MÁLNA GELATO S.R.L.^51614315^Harghita^Municipiul Odorheiu Secuiesc, ALBINELOR 20
GRAPĂ-VÂRLAN DRAGOŞ-MARIAN PERSOANĂ FIZICĂ AUTORIZATĂ^51567817^Iaşi^Municipiul Iaşi, CĂRĂMIDARI 27
XXI CENTURY CONSTRUCT S.R.L.^51567957^Braşov^Municipiul Codlea, NOUĂ 42
VALHALLA-BERSERKER S.R.L.^51564268^Dâmboviţa^Sat Gura Foii, Comuna Gura Foii, Gura Foii 100
GRIGORE EMILIA-GEORGIANA PERSOANĂ FIZICĂ AUTORIZATĂ^51612110^Giurgiu^Sat Adunaţii-Copăceni, Comuna Adunaţii-Copăceni, TEIULUI 4
EVENTMEDIART S.R.L.^51608410^Cluj^Sat Apahida, Comuna Apahida, DECEBAL 24
TRANSPORTS CAS S.R.L.^51563033^Cluj^Municipiul Cluj-Napoca, PLOIEŞTI 9
CANALIZAREA S.R.L.^51563823^Botoşani^Sat Stănceşti, Comuna Mihai Eminescu,  17
MATEI C. CRISTINA-ELENA PERSOANĂ FIZICĂ AUTORIZATĂ^51809244^Bucureşti^Bucureşti Sectorul 3, NERVA TRAIAN 27-33
BETZIN S.R.L.^51127727^Prahova^Municipiul Ploieşti, ZAMORA 7
IRIMIA MIHAELA-ROXANA ÎNTREPRINDERE INDIVIDUALĂ^51744064^Iaşi^Sat Valea Lupului, Comuna Valea Lupului, SOARELUI 117D
GIULI SHOP S.R.L.^51745787^Iaşi^Sat Moţca, Comuna Moţca, Caişilor 6
ILIE I.M. ADRIAN PERSOANĂ FIZICĂ AUTORIZATĂ^51638977^Iaşi^Municipiul Iaşi, SPLAI BAHLUI 16A
TOMA CLAUDIA-FLAVIA PERSOANĂ FIZICĂ AUTORIZATĂ^51634240^Maramureş^Municipiul Baia Mare, TÂRGULUI 5
SELLFLOW S.R.L.^51635695^Dolj^Municipiul Craiova, HENRI COANDĂ 77
CERNAT BOGDAN PERSOANĂ FIZICĂ AUTORIZATĂ^51678009^Braşov^Municipiul Braşov, SERII 2
RENT A CAR SEBASTIAN CRC S.R.L.^51751894^Bistriţa-Năsăud^Sat Bistriţa Bârgăului, Comuna Bistriţa Bârgăului,  1130
GRENICIAR STANAT AUR S.R.L.^51646244^Bacău^Sat Răcăuţi, Comuna Buciumi,  425
SAYURIESTATE S.R.L.^50767086^Cluj^Sat Floreşti, Comuna Floreşti, STEJARULUI 54
ANGHEL DANIEL ROBERT PERSOANĂ FIZICĂ AUTORIZATĂ^51779151^Dolj^Sat Preajba, Comuna Malu Mare, ULMULUI 17A
ENACHE VASILE PERSOANĂ FIZICĂ AUTORIZATĂ^51736975^Bucureşti^Bucureşti Sectorul 6, ORŞOVA 8
DA SMART ELECTRIC S.R.L.^51783900^Braşov^Municipiul Braşov, GĂRII 12
