DENUMIRE^CUI^ADR_JUDET^ADRESA
SIATC S.R.L.^46072323^Olt^Sat Ştefan cel Mare, Comuna Ştefan cel Mare, FLORILOR 27
MF IT CODELY S.R.L.^46811230^Prahova^Sat Păuleşti, Comuna Păuleşti, Muşcatelor 32
PROVERO DEVELOPMENT S.R.L.^46831946^Bucureşti^Bucureşti Sectorul 1, FLOREASCA 165
RC SOUND EVENT S.R.L.^47384773^Sibiu^Sat Sebeşu de Sus, Comuna Racoviţa, UNIRII 185
AMADA PRO BUSINESS S.R.L.^50157983^Iaşi^Municipiul Iaşi, SF. PETRU MOVILĂ 58
IKOLADY S.R.L.^48841644^Mureş^Municipiul Târgu Mureş, TRANDAFIRILOR 25
VIODAN & EDIMAR S.R.L.^48752989^Gorj^Municipiul Târgu Jiu, PANDURI 134F
TÂRZIU IULIAN PERSOANĂ FIZICĂ AUTORIZATĂ^49336195^Galaţi^Municipiul Galaţi, GAROFIŢEI 15
FOREST VISION LIVE S.R.L.^50180196^Argeş^Sat Găinuşa, Comuna Săpata,  64
BEVALUED S.R.L.^49849956^Cluj^Municipiul Cluj-Napoca, FABRICII 105
LUCUȘA BOGDAN-RAUL PERSOANĂ FIZICĂ AUTORIZATĂ^50575072^Arad^Loc. Pecica, Oraş Pecica, 505 14
SOHATU ENERGY S.R.L.^50980644^Ilfov^Oraş Popeşti Leordeni, Cheiul Dâmboviţei 26
HORVATH ELFRIEDE PERSOANĂ FIZICĂ AUTORIZATĂ^51227378^Cluj^Municipiul Cluj-Napoca, CODRU DRĂGUŞANU 28
LIGHTWAY TECHNOLOGIES S.R.L.^51649186^Bucureşti^Bucureşti Sectorul 2, MOŞILOR 158
SAVIN MIHĂIȚĂ ÎNTREPRINDERE INDIVIDUALĂ^51657910^Constanţa^Sat Răriştea, Comuna Ion Corvin, GRĂDINILOR 20
DOBRA GEORGIANA-VIOLETA ÎNTREPRINDERE INDIVIDUALĂ^52197356^Dâmboviţa^Sat Grozăveşti, Comuna Corbii Mari, Lungă 192
FORMAGIU VASILE PERSOANĂ FIZICĂ AUTORIZATĂ^52287459^Mureş^Municipiul Târgu Mureş, REPUBLICII 50
FRESH FISH DAN S.R.L.^52996914^Argeş^Sat Geamăna, Comuna Bradu, CĂLIMAN 11A
DMC NEW INVEST S.R.L.^53319540^Bucureşti^Bucureşti Sectorul 5, SOLD. ENE MODORAN 1
I CONSTANTINESCU COM IMPEX SNC^4036040^Bucureşti^Bucureşti Sectorul 4, B-dul CONSTANTIN BRANCOVEANU 116
IANCU AUGUSTIN PERSOANĂ FIZICĂ AUTORIZATĂ^20205710^Bucureşti^Bucureşti Sectorul 2, Str. Călusei 31
IMOB BUSINESS TRADING SRL^17169897^Bucureşti^Bucureşti Sectorul 3, DUDEŞTI 188
PAP DENES-ZSOLT PERSOANĂ FIZICĂ AUTORIZATĂ^19934383^Sălaj^Sat Crasna, Comuna Crasna,  566
METAL ART SRL^6785433^Arad^Municipiul Arad, SIBIULUI 1
MURĂRUŞ MIRCEA ÎNTREPRINDERE FAMILIALĂ^17279180^Sibiu^Municipiul Sibiu, Str. LUNGĂ 55
NET SERVICE SRL^14724828^Braşov^Municipiul Braşov, Calea Bucuresti 66
GEORGI & ANTO IMPEX SRL^18613067^Braşov^Sat Drăguş, Comuna Drăguş,  172
JOY BAR SRL^35342448^Cluj^Loc. Huedin, Oraş Huedin, REPUBLICII 8
DUMISIM TRANS SRL^4968663^Bihor^Municipiul Oradea, PLUGULUI 1B1
CASA AGRO PLANT SRL^37505266^Bihor^Sat Sântandrei, Comuna Sântandrei, SÂNTANDREI 446
VINŢAN IOAN PERSOANĂ FIZICĂ AUTORIZATĂ^20813458^Hunedoara^Municipiul Orăştie, Str. PRICAZULUI 
TIMAUTO KUBAJI S.R.L.^3687007^Timiş^Municipiul Timişoara, Str. OVIDIU BALEA 1A
ELVIK PROFESIONAL SRL^33586454^Timiş^Sat Chişoda, Comuna Giroc, Calea Şagului 201
TRANSEURO MAO S.R.L.^39838470^Constanţa^Municipiul Constanţa, CONSTANTIN HURMUZACHE 17
ARGENTA INSTALAŢII S.R.L.^12281988^Constanţa^Loc. Năvodari, Oraş Năvodari, NĂVODARI 295
CORIDA SRL^5244456^Constanţa^Sat Lumina, Comuna Lumina, CÎMPULUI 45
STANCU MARINA-IONELA ÎNTREPRINDERE INDIVIDUALĂ^30691749^Dâmboviţa^Sat Bumbuia, Comuna Gura Foii,  82
CIOROIANU DANIELA-DENISA PERSOANĂ FIZICĂ AUTORIZATĂ^38720718^Argeş^Municipiul Piteşti, CRAIOVEI 134
EDY COR TRANS SRL^23647937^Galaţi^Municipiul Galaţi, Str. CĂLUGĂRENI 4
NODENS SERV SRL^30427187^Brăila^Municipiul Brăila, VASILE LUPU 2
DUMITRESCU MARIA ÎNTREPRINDERE INDIVIDUALĂ^21590281^Vâlcea^Loc. Horezu, Oraş Horezu, Str. UNIRII 24
MEDAXIM SRL^10953616^Vâlcea^Sat Sălătrucel, Comuna Sălătrucel, Com. Salatrucel 
MATEI GH. TEODOR ÎNTREPRINDERE FAMILIALĂ^34529740^Vâlcea^Municipiul Râmnicu Vâlcea, TINERETULUI 14
RCE CONSTRUCTTIA S.R.L.^41252323^Cluj^Sat Tăuţi, Comuna Floreşti, TĂUŢI 121C
ANICULĂESEI ELVIS-COSTEL PERSOANĂ FIZICĂ AUTORIZATĂ^41516778^Iaşi^Loc. Târgu Frumos, Oraş Târgu Frumos, CUZA VODĂ 62A
CURCĂ V.D. ADRIANA PERSOANĂ FIZICĂ AUTORIZATĂ^48678807^Suceava^Municipiul Câmpulung Moldovenesc, UZINEI 6
CONTSIM EXPERT S.R.L.^45745146^Bacău^Municipiul Oneşti, BUCIUMULUI 
CONSTANTIN (NICOLAE) NICOLETA ÎNTREPRINDERE INDIVIDUALĂ^42629066^Braşov^Oraş Ghimbav, Victoriei 2
WILLOW GARDEN EDUCATION S.R.L.^44044254^Galaţi^Municipiul Galaţi, Alexandru Davila 2
ION G NICOLAE ÎNTREPRINDERE INDIVIDUALĂ^47959936^Dâmboviţa^Sat Mogoşani, Comuna Mogoşani, Principală 169
LMV ABSTRACT INC S.R.L.^46715984^Braşov^Municipiul Braşov, LUNGĂ 149
BELLE DEKOR EVENTS S.R.L.^47589116^Dolj^Municipiul Craiova, PESCĂRUŞULUI 44A
CONSMUN SERV S.R.L.^47826360^Cluj^Sat Feleacu, Comuna Feleacu, FELEACU 618
ȘERBAN CIPRIAN-MIHAIL PERSOANĂ FIZICĂ AUTORIZATĂ^48607504^Vâlcea^Sat Urşi, Comuna Popeşti, Principală 12
SMART LUCKY CAR S.R.L.^48387697^Bihor^Municipiul Beiuş, SAMUIL VULCAN 14A
DALAKI S.R.L.^49559324^Sălaj^Sat Sâg, Comuna Sâg, SÎG 141
MAGAZIN ANDREMAD S.R.L.^49943910^Dâmboviţa^Sat Teis, Comuna Şotânga, Teiul Doamnei 190
ASTRODIVIN S.R.L.^51021350^Bucureşti^Bucureşti Sectorul 3, DrmLUNCA TÂRNAVEI 5-7
LORD LOGIC S.R.L.^51340570^Harghita^Sat Dealu, Comuna Dealu,  171
MESEȘAN AMELINA-IONELA PERSOANĂ FIZICĂ AUTORIZATĂ^52054100^Bucureşti^Bucureşti Sectorul 1, BUCUREŞTII NOI 136
PANDELEA MARIAN-ALIN PERSOANĂ FIZICĂ AUTORIZATĂ^53101790^Bucureşti^Bucureşti Sectorul 1, BUCUREŞTII NOI 136
EAGLE SOFT S.R.L.^54104272^Mureş^Sat Nazna, Comuna Sâncraiu de Mureş, Pășunii 1Y
ASTRA-ROGER SRL^2840284^Bucureşti^Bucureşti Sectorul 2, Str. GRIGORE VASILIU BIRLIC 22
MARALYN COUTURE S.R.L.^13722748^Bucureşti^Bucureşti Sectorul 1, VERONICA MICLE 24
COSTACHE ANICA PERSOANĂ FIZICĂ AUTORIZATĂ^19585631^Bucureşti^Bucureşti Sectorul 1, Str. Dîrza 14
STRIKE ADVERTISING SRL^17764142^Bucureşti^Bucureşti Sectorul 1, Pușcașului 50
STANDARD AUDIT SRL^18661951^Bucureşti^Bucureşti Sectorul 6, Str. Valea lui Mihai 5
ROSCA ALEXANDRINA PERSOANĂ FIZICĂ AUTORIZATĂ^24523686^Bucureşti^Bucureşti Sectorul 6, Str. Ruşetu 1
LA MAMUSKA EXCLUSIV SRL^29123702^Bucureşti^Bucureşti Sectorul 6, Str. APUSULUI 32
AZ EXPORT GROUP SRL^17578999^Alba^Sat Sâncel, Comuna Sâncel, Str. MIHAI EMINESCU 96
BĂRBULESCU I. FLORIN PERSOANĂ FIZICĂ AUTORIZATĂ^28806596^Olt^Sat Grădinari, Comuna Grădinari, Str. TRAIAN 8
HYPERION JOB S.R.L.^17754343^Arad^Sat Şagu, Comuna Şagu,  278
SÎRBU V. TITIANA - ÎNTREPRINDERE FAMILIALĂ^17309796^Suceava^Sat Mălini, Comuna Mălini,  1080
CELTIC DESIGN SRL^37653220^Arad^Sat Livada, Comuna Livada, LIVADA 1107
DOLCE LINIA SRL^13968166^Braşov^Municipiul Braşov, Str. LÂNII 38 A
VANDFLOR SRL^14349400^Bihor^Sat Birtin, Comuna Vadu Crişului,  7
VEPRIC RODICA ÎNTREPRINDERE INDIVIDUALĂ^28324813^Maramureş^Sat Sasar, Comuna Recea, Str. FLORILOR 10
CERNAT I. MIRELA MARIA ÎNTREPRINDERE INDIVIDUALĂ^29208809^Prahova^***localitatea negasita***, Aleea BERZEI 2BIS
CHINA ANA-SILVIA PERSOANĂ FIZICĂ AUTORIZATĂ^33958949^Maramureş^Sat Stoiceni, Oraş Târgu Lăpuş, STOICENI 127
ROȘU S. IONUȚ PERSOANĂ FIZICĂ AUTORIZATĂ^48642714^Constanţa^Municipiul Constanţa, I. C. BRĂTIANU 89
PETRE ALEXANDRU-DĂNUŢ ÎNTREPRINDERE INDIVIDUALĂ^37243114^Dâmboviţa^Sat Broşteni, Comuna Vişina, NARCISELOR 44
IRIMIA BENIAMIN ÎNTREPRINDERE INDIVIDUALĂ^36000052^Dolj^Sat Malu Mare, Comuna Malu Mare, TEILOR 10
MONTE VASILE SRL^25954130^Tulcea^Municipiul Tulcea, STEJARULUI 2
RÂȘNIȚĂ IONEL ÎNTREPRINDERE INDIVIDUALĂ^42460861^Dolj^Sat Ciupercenii Noi, Comuna Ciupercenii Noi, SALCÎMULUI 63
IONESCU O. GABRIEL PERSOANĂ FIZICĂ AUTORIZATĂ^41734136^Dolj^Municipiul Craiova, PARCULUI 3
EGG GEORGESCU TAXI S.R.L.^42984939^Gorj^Municipiul Motru, FAGULUI 1
ILEA ANDREI-CĂTĂLIN PERSOANĂ FIZICĂ AUTORIZATĂ^48121546^Constanţa^Municipiul Constanţa, NALBEI 6
MARANDMIN S.R.L.^47920715^Bihor^Municipiul Oradea, TRAIAN LALESCU 41
CODHUT WISE S.R.L.^43718790^Cluj^Municipiul Cluj-Napoca, Soporului 8D
MARIN A. M. PERSOANĂ FIZICĂ AUTORIZATĂ^43868746^Cluj^Municipiul Cluj-Napoca, Unirii 10
NOVAC GLIGOR ANDREI PERSOANĂ FIZICĂ AUTORIZATĂ^44199437^Alba^Sat Ighiel, Comuna Ighiu,  157A
ARDELEAN NICOLETA LENUŢA ÎNTREPRINDERE INDIVIDUALĂ^44683649^Bihor^Sat Tomnatic, Comuna Vadu Crişului, TOMNATIC 149
BOTAȘ D. DENISA-MARIA PERSOANĂ FIZICĂ AUTORIZATĂ^45623025^Arad^Sat Apateu, Comuna Apateu, APATEU 195
RS HOLZPELLETS S.R.L.^45691801^Vrancea^Loc. Dumbrava, Oraş Panciu, MAIOR TULEA 37
BRONX IMOB S.R.L.^46260254^Cluj^Municipiul Cluj-Napoca, PLOIEŞTI 47-49
MIFA IACOB TRANS S.R.L.^46775706^Mureş^Sat Şaulia, Comuna Şaulia, ŞĂULIA 38
VITAMINA IAȘI S.R.L.^49572838^Iaşi^Sat Rediu, Comuna Rediu, Alunişului 15
CVD BOG ELECTRIC S.R.L.^50679715^Suceava^Municipiul Suceava, CUZA VODĂ 61
MCI EUROCONTRACTOR S.R.L.^51088075^Bistriţa-Năsăud^Municipiul Bistriţa, LUCIAN BLAGA 54
SANDY CONSTRUCT 2025 S.R.L.^52176086^Bucureşti^Bucureşti Sectorul 2, MIHAI BRAVU 136
CORBU BIANCA - IOVANCA PERSOANĂ FIZICĂ AUTORIZATĂ^52437955^Arad^Municipiul Arad, GHEORGHE DOJA 80
P&P FAST TRANSPORT S.R.L.^52701797^Sibiu^Municipiul Sibiu, DOROBANŢILOR 34
FLORIN I. CRISTIAN-IOAN PERSOANĂ FIZICĂ AUTORIZATĂ^53898183^Iaşi^Municipiul Iaşi, Poitiers 65
SAN LILIANA COM SRL^16649528^Bucureşti^Bucureşti Sectorul 3, Str. Vilsanesti 7
CANEPINA PROFESIONAL S.R.L.^40686057^Bihor^Sat Palota, Comuna Sântandrei, Tinerilor 2
STRÂMB LĂCRĂMIOARA NICOLETA PERSOANĂ FIZICĂ AUTORIZATĂ^32013793^Sălaj^Sat Purcăreţ, Comuna Letca, PURCĂREŢ 55
TURTUREAN VOICHIŢA ÎNTREPRINDERE INDIVIDUALĂ^25193829^Satu Mare^Municipiul Satu Mare, Str. BASARABIA 31
POPA IONEL-DĂNUŢ PERSOANĂ FIZICĂ AUTORIZATĂ^20740739^Olt^Municipiul Slatina, Str. CART. PROGRESUL III 
LAVDENTAL SRL^28038331^Suceava^Municipiul Rădăuţi, MĂRĂŞEŞTI 15 A
ILAŞCĂ VIOLETA ÎNTREPRINDERE INDIVIDUALĂ^31348545^Suceava^Municipiul Suceava, GRIGORE ANTIPA 9
COMDIS AUTO SRL^28423469^Neamţ^Municipiul Piatra Neamţ, FERMELOR 17
SERASEI FLOR SRL^33403905^Neamţ^Municipiul Roman, ŞTEFAN CEL MARE 197
M.G. PROIECT SRL^22379810^Braşov^Municipiul Braşov, Str. Soarelui 8 A
FARA 5 INSTAL SRL^25861260^Cluj^Municipiul Cluj-Napoca, Str. MEHEDINŢI 42-44
PREMIUM APPLIANCES S.R.L.^29880221^Cluj^Municipiul Cluj-Napoca, FAGULUI 57C
RUS RAMONA RAVECA ÎNTREPRINDERE INDIVIDUALĂ^37085081^Cluj^Sat Aluniş, Comuna Aluniş, ALUNIŞ 19
DODA GABRIEL TEODOR PERSOANĂ FIZICĂ AUTORIZATĂ^33838098^Hunedoara^Sat Peşteana, Comuna Densuş, PEŞTEANA 
RENOV ACTIV S.R.L.^41609419^Bacău^Municipiul Bacău, MOLDOVEI 167E
R32 COMPUTERS SRL^23799390^Timiş^Municipiul Lugoj, Spl. 1 DECEMBRIE 1918 
BLANK ARHITECTURE SRL^25673630^Timiş^Sat Dumbrăviţa, Comuna Dumbrăviţa, MIHAI EMINESCU 79
A & B INFOCONT SRL^36397689^Vaslui^Municipiul Vaslui, MILITARI 46
ELENA EUROPROD SRL^25263274^Constanţa^Municipiul Constanţa, Str. RADU CALOMFIRESCU 9B
SAGETATORUL IMPEX SRL^10055062^Caraş-Severin^Municipiul Caransebeş, Str. TEIUSULUI 25
BACIU M. OLGA ÎNTREPRINDERE INDIVIDUALĂ^32411195^Constanţa^Municipiul Mangalia, CALLATIS 
MEDA SRL^2301204^Dolj^Municipiul Craiova, NICOLAE ROMANESCU 6C
FILIP ALEXANDRU-ALIN PERSOANĂ FIZICĂ AUTORIZATĂ^31357357^Dâmboviţa^Sat Ulmi, Comuna Ulmi, PRINCIPALĂ 312 A
NEO DIVA SRL^32016226^Bucureşti^Bucureşti Sectorul 1, COL ŞTEFAN STOICA 29
B. VIC ENTERTAINMENT SRL^35020434^Bucureşti^Bucureşti Sectorul 6, ZORELELOR 4A
CHT TECH S.R.L.^37726410^Iaşi^Municipiul Iaşi, SOCOLA 32
VOSSIL TRADE S.R.L.^38788977^Arad^Sat Sânmartin, Comuna Macea, SÎNMARTIN 26
SUN EATS HOURS SRL^35180559^Galaţi^Municipiul Galaţi, CĂLUGĂRENI 2
FABRICA DE ARTISTI S.R.L.^40532490^Ialomiţa^Municipiul Slobozia, Stînjenei 23
HARUUM CONFORT INSTAL EXPERT S.R.L.^40149657^Ilfov^Sat Corbeanca, Comuna Corbeanca, LAGUNA ALBASTRĂ 48G
MARIŞ M. LIDIA PERSOANĂ FIZICĂ AUTORIZATĂ^40881449^Arad^Sat Zăbrani, Comuna Zăbrani, ZĂBRANI 460
BRAS BROKER DE ASIGURARE SRL^18680007^Iaşi^Municipiul Iaşi, Str. SILVSTRU 26-36
LUPU E.N. MARIA ÎNTREPRINDERE INDIVIDUALĂ^35349551^Iaşi^Sat Bâcu, Comuna Ipatele,  
IDECORATE S.R.L.^42585083^Bucureşti^Bucureşti Sectorul 5, RITORIDE 14
BLACK FASHION OUTLET S.R.L.^42957128^Cluj^Municipiul Cluj-Napoca, DINU LIPATTI 16-18
PUȘCAȘ ANIȘOARA-CRISTINA ÎNTREPRINDERE INDIVIDUALĂ^50130031^Bihor^Municipiul Oradea, PROF. DR. IOAN CANTACUZINO 13
TM SNEAKER CARE S.R.L.^44710018^Bucureşti^Bucureşti Sectorul 2, ARMAŞUL MARCU 9
BRM & BDP SERVICES S.R.L.^46133153^Satu Mare^Sat Solduba, Comuna Homoroade, SOLDUBA 9
PLOŞNIŢĂ ADRIAN PERSOANĂ FIZICĂ AUTORIZATĂ^48303858^Sibiu^Sat Apoldu de Jos, Comuna Apoldu de Jos,  459
ETHEREAL RENTALS S.R.L.^47009510^Argeş^Sat Valea Mare Pravăţ, Comuna Valea Mare Pravăţ, VALEA FOII II 270 bis
IMMASSET PETROLEUM MANAGEMENT S.R.L.^47152943^Galaţi^Municipiul Galaţi, SIDERURGIŞTILOR 9
BACIU DENISA PERSOANĂ FIZICĂ AUTORIZATĂ^47319481^Argeş^Municipiul Piteşti, MITROPOLIT ANTIM IVIREANU 52A
TRANS EURO CENTER S.R.L.^48016230^Argeş^Sat Gorganu, Comuna Călineşti,  158
CASNICA COM SERV S.R.L.^48644901^Vâlcea^Sat Oteşani, Comuna Oteşani, MIREŞTI 4
