DENUMIRE^CUI^ADR_JUDET^ADRESA
ANGELYO GRUP SRL^18002730^Iaşi^Municipiul Iaşi, B-dul TUDOR VLADIMIRESCU 30
M.A.C. CERAMICS S.R.L.^41946937^Bucureşti^Bucureşti Sectorul 1, ION BREZOIANU 18
NĂDESCU MARICONF S.R.L.^46744858^Olt^Loc. Drăgăneşti-Olt, Oraş Drăgăneşti-Olt, NICOLAE TITULESCU 1B
ANEMARY CRIS & MATI S.R.L.^42045644^Galaţi^Municipiul Galaţi, BARBOŞI 6
CALITA DEPOT S.R.L.^43073669^Prahova^Municipiul Ploieşti, CRISTIANUL 14
SIBIU PROJECT S.R.L.^41862690^Bucureşti^Bucureşti Sectorul 3, DUDEŞTI-PANTELIMON 42
MEDIA PRODUCTION ADVERTISING S.R.L.^18885940^Ilfov^Oraş Pantelimon, NEPTUN 15A
MÁTHÉ O. ISTVÁN PERSOANĂ FIZICĂ AUTORIZATĂ^43761056^Harghita^Municipiul Gheorgheni, FLORILOR 
SPRE SINE S.R.L.^44363466^Braşov^Municipiul Braşov, MOLIDULUI 43A
JONNY INSTAL 2021 S.R.L.^45205995^Bistriţa-Năsăud^Sat Bistriţa Bârgăului, Comuna Bistriţa Bârgăului,  1317/C
GBR TECH CODE S.R.L.^51245455^Alba^Municipiul Alba Iulia, IAŞILOR 47
OPREA V. GABRIEL PERSOANĂ FIZICĂ AUTORIZATĂ^46714652^Iaşi^Municipiul Iaşi, Mircea cel Bătrân 16
PFM DOM INSTAL S.R.L.^48087410^Constanţa^Sat Mihail Kogălniceanu, Comuna Mihail Kogălniceanu, GRUP SOCIAL CERES 
RIG DISTRIBUTION S.R.L.^47731660^Suceava^Sat Moara Nica, Comuna Moara, UNIVERSITĂŢII 100J-15
CASA DE PIELE ŞI BLĂNURI VANESSA S.R.L.^48495842^Suceava^Sat Moldova-Suliţa, Comuna Moldova-Suliţa,  249B
HOME DESIGN .GG S.R.L.^48558886^Bucureşti^Bucureşti Sectorul 4, Dumitru Brumărescu 14
HOUSE OF DENIM S.R.L.^52437688^Ilfov^Sat Dumbrăveni, Comuna Baloteşti, Zori de zi 23/9
TRANS BCI S.R.L.^49643122^Suceava^Sat Moara Nica, Comuna Moara, TINOASA 68 A
SED CAR USED S.R.L.^51102625^Vâlcea^Sat Foleştii de Jos, Comuna Tomşani, Principală 131
ATELIERUL DE PALANETE S.R.L.^51143587^Cluj^Municipiul Turda, TOAMNEI 4
C IULIAN CONSTRUCT S.R.L.^51557333^Constanţa^Sat Lumina, Comuna Lumina, Ştefan cel Mare 21
CONSTANTIN CLAUDIU-MARIAN PERSOANĂ FIZICĂ AUTORIZATĂ^51875680^Ilfov^Loc. Bragadiru, Oraş Bragadiru, INCLINATA  43
SHARP RESIDENTIAL SERVICES S.R.L.^53029300^Bucureşti^Bucureşti Sectorul 2, COLENTINA 16
TONIC EVENTS SRL^19048433^Bucureşti^Bucureşti Sectorul 1, Comandor Av. Popisteanu 54B
CASA NATY SRL^24403027^Bucureşti^Bucureşti Sectorul 3, Calea Călăraşilor 309
GLOBAL UTILTRANS SRL^28087628^Bucureşti^Bucureşti Sectorul 3, Str. COLŢEI 42
ILIESCU C.G. MIHAI-CLAUDIU ÎI^29746018^Olt^Sat Ghimpaţi, Comuna Fărcaşele, PRINCIPALĂ 132
FAST CONSULTING 2007 SRL^21316260^Argeş^Municipiul Piteşti, Str. TUDOR VLADIMIRESCU 
ŞERBAN FLORIN-VALENTIN ÎNTREPRINDERE INDIVIDUALĂ^30048663^Argeş^Municipiul Piteşti, MIHAIL LUNGEANU 10
SIMBOL DESIGN SRL^17807316^Cluj^Sat Floreşti, Comuna Floreşti, Str. SOMEŞULUI F.N.
RÎMBU ELVIRA PERSOANĂ FIZICĂ AUTORIZATĂ^27703088^Bihor^Municipiul Oradea, Str. VASILE ALECSANDRI 5
CASA PROIECT SRL^18781630^Timiş^Municipiul Timişoara, Str. AZUGA 5
STAN IOAN CROITORIE PERSOANĂ FIZICĂ AUTORIZATĂ^20540854^Maramureş^Municipiul Sighetu Marmaţiei, Str. BOGDAN VODA 17
MKT DESIGN SRL^23197182^Prahova^Municipiul Ploieşti, Str. GHEORGHE DOJA 19
COSTELIUC ROMEO ÎNTREPRINDERE FAMILIALĂ^34650555^Timiş^Municipiul Lugoj, TIROL 6
ŞTEFANIA - IND SRL^37295822^Timiş^Sat Denta, Comuna Denta,  390
NEED FOR SPEED SRL^19109263^Caraş-Severin^Municipiul Caransebeş, Str. PAVEL CHINEZU 
TEMPO CASSA ACTUAL SRL^34134473^Constanţa^Loc. Năvodari, Oraş Năvodari, PANSELUŢELOR 5
WEBSUITS S.R.L.^36463057^Brăila^Municipiul Brăila, CĂLUGĂRENI 8
PMC CONSTRUCT BISTRIȚA S.R.L.^39000278^Bistriţa-Năsăud^Sat Herina, Comuna Galaţii Bistriţei,  208
ANA NATURAL FOOD S.R.L.^40180270^Olt^Sat Mărgineni Slobozia, Oraş Scorniceşti, CALEA PITEŞTI 16A
ARIA VEST COMERCIAL S.R.L.^40851995^Bucureşti^Bucureşti Sectorul 3, NERVA TRAIAN 3
EGAV CLEANING SOLUTION S.R.L.^40812201^Timiş^Sat Ictar-Budinţi, Comuna Topolovăţu Mare,  165
ALESIA-MARIO COMERCIAL SRL^30990406^Iaşi^Sat Siretel, Comuna Sireţel,  131
COJOCARU A. RODICA PERSOANĂ FIZICĂ AUTORIZATĂ^41633808^Bucureşti^Bucureşti Sectorul 1, BĂNEASA 1-7
REVERSO PROFESSIONAL S.R.L.^41224110^Galaţi^Sat Vameş, Comuna Piscu, Troiţei 9
PIN RECORDS S.R.L.^41257851^Constanţa^Loc. Năvodari, Oraş Năvodari, T1 104
AUTOMASTERPRO S.R.L.^41606994^Teleorman^Comuna Frăsinet, LACULUI 15
IANCU GHE. VASILICĂ PERSOANĂ FIZICĂ AUTORIZATĂ^41092419^Ialomiţa^Municipiul Slobozia, NORDULUI 
TASHA BEAUTY S.R.L.^41356634^Iaşi^Municipiul Iaşi, FRUMOASA 9
TREICE TRITEAN URBAN S.R.L.^42228820^Cluj^Municipiul Turda, ALEXANDRU IOAN CUZA 8
ANDREI PREDA MEDIA STUDIO S.R.L.^44847512^Caraş-Severin^Municipiul Caransebeş, Severinului 41
VEGA LAND TRANSACTIONS S.R.L.^45784536^Iaşi^Municipiul Iaşi, NICOLINA 2A
LEADING COMMUNICATION S.R.L.^45820019^Bucureşti^Bucureşti Sectorul 2, CHIŞINĂU 11
BEST RECYCLING AUTO CAT S.R.L.^47592766^Suceava^Municipiul Suceava, TRAIAN VUIA 7C
DAN ANITA-CRISTINA PERSOANĂ FIZICĂ AUTORIZATĂ^48144272^Bucureşti^Bucureşti Sectorul 4, GIURGIULUI 58-70
OTOKAT S.R.L.^48125203^Vrancea^Sat Maluri, Comuna Vulturu, Muntenia 92
SIMOTA GABRIEL-ILIE PERSOANĂ FIZICĂ AUTORIZATĂ^49047847^Suceava^Municipiul Rădăuţi, ANA IPĂTESCU 3
VASYSAX PREMIUM S.R.L.^48788729^Ilfov^Oraş Bragadiru, ORIZONTULUI 27(CAM 1)
CERNICA GARDEN S.R.L.^52048184^Ilfov^Loc. Pantelimon, Oraş Pantelimon, CERNICA 32-34
GEVMET S.R.L.^52070980^Galaţi^Municipiul Galaţi, DUNĂREA 44
MAISON RHEA S.R.L.^52693880^Arad^Municipiul Arad, Mioriţa 43
ZAMFIR CARMEN PERSOANĂ FIZICĂ AUTORIZATĂ^19530954^Bucureşti^Bucureşti Sectorul 2, Str. Icoanei 83A
HERMOSA BEAUTY SALON SRL^18894353^Bucureşti^Bucureşti Sectorul 3, ZIZIN 11
PONGOSPEDITION TRANS SRL^34948226^Alba^Sat Cetatea de Baltă, Comuna Cetatea de Baltă, DACILOR 7
MARCU M DAN MIHAI PERSOANĂ FIZICĂ AUTORIZATĂ^26779517^Satu Mare^Loc. Tăşnad, Oraş Tăşnad, Cart. NICOLAE IORGA 
BOLOHAN L. LUMINIŢA - ÎNTREPRINDERE INDIVIDUALĂ^19254697^Suceava^Municipiul Suceava, Aleea Jupiter 10
RUSTIC FLORIAN SRL^29243903^Suceava^Sat Holdiţa, Oraş Broşteni,  98
