DENUMIRE^CUI^ADR_JUDET^ADRESA
FX SOFTWARE SOLUTIONS S.R.L.^50073106^Gorj^Municipiul Târgu Jiu, ECATERINA TEODOROIU 354
WEI BEAUTY CONCEPT S.R.L.^50843124^Bucureşti^Bucureşti Sectorul 3, ŞTIUBEI 50
GLOBAL INTENS CONSTRUCT BEST S.R.L.^50904051^Bucureşti^Bucureşti Sectorul 2, VIITORULUI 45
CHIRIACTOPOEXPERT S.R.L.^51080888^Cluj^Sat Gilău, Comuna Gilău, Sub Pădure 20
NEDMAR MULTISERV S.R.L.^52368995^Argeş^Municipiul Piteşti, CARPENULUI 10
GRUP CONSTRUCTII AVANSATE S.R.L.^52540828^Ilfov^Sat Tamaşi, Comuna Corbeanca, SPORTULUI 11
VOGUE DENT LABORATORY S.R.L.^52607090^Ialomiţa^Sat Săveni, Comuna Săveni, LUCIAN BLAGA 6
STAVROU CONSTRUCTION S.R.L.^52966662^Dâmboviţa^Sat Valea Voievozilor, Comuna Răzvad, Mânăstirii 84
UŞURELU CĂTĂLINA-IOANA PERSOANĂ FIZICĂ AUTORIZATĂ^53623409^Bucureşti^Bucureşti Sectorul 1, BUCUREŞTII NOI 136
AKU INVEST IMPORT-EXPORT SRL^6544451^Bucureşti^Bucureşti Sectorul 2, Intr. HELIADE INTRE VII 12
STROE GHEORGHE-CRISTINEL PERSOANĂ FIZICĂ AUTORIZATĂ^25702531^Bucureşti^Bucureşti Sectorul 1, B-dul ALEXANDRU IOAN CUZA 101
COMMONWEALTH CONSULTING SRL^26828903^Bucureşti^Bucureşti Sectorul 1, BUCUREŞTII NOI 189A
TRIO-FARMEC SRL^4551185^Tulcea^Municipiul Tulcea, Str. BABADAG 7
ZIKA ALEX SRL^23535267^Alba^Municipiul Blaj, Str. EROILOR 
EURO ALIANTA SRL^32153940^Cluj^Municipiul Dej, DUMBRAVA ROŞIE 7
BAB MEDIA SRL^9387416^Timiş^Municipiul Lugoj, Str. STRUGURILOR 16B
HELP CREDIT LEADER SOLUTIONS SRL^22013931^Ilfov^Sat Berceni, Comuna Berceni, PETRU RAREŞ 4
IZADUM INTER FOREST S.R.L.^36107084^Prahova^Sat Găgeni, Comuna Păuleşti, Movila Vulpii 22
BÂRLEA DANIELA-FLORINA PERSOANĂ FIZICĂ AUTORIZATĂ^31816379^Maramureş^Sat Vad, Comuna Copalnic-Mănăştur, VAD 106
SEVENTECH CONSULTING S.R.L.^41978343^Cluj^Municipiul Cluj-Napoca, ALEXANDRU VAIDA VOEVOD 14
AVENUE ONE ACTIV SRL^22079464^Timiş^Municipiul Timişoara, MOISE DOBOŞAN 5
ROSA ROUTE SRL^1885180^Constanţa^Loc. Năvodari, Oraş Năvodari, B-dul MAMAIA NORD 93
DUMITRESCU GH. SULTANA ÎNTREPRINDERE FAMILIALĂ^28276465^Dâmboviţa^Municipiul Târgovişte, Str. BOERESCU ZAHARIA 
ROMAVIS SRL^14302408^Tulcea^Municipiul Tulcea, Str. MIRCEA VODĂ 11
PRENUIL COM SRL^3735260^Gorj^Sat Peşteana Jiu, Comuna Bâlteni,  
POPICA ILIE-MARIUS PERSOANĂ FIZICĂ AUTORIZATĂ^28694220^Gorj^Sat Drăgoieşti, Comuna Crasna,  299
LORAC IMPEX SRL^7077990^Galaţi^Municipiul Galaţi, CRIZANTEMELOR 69
BUŢURCĂ FLORENTINA ÎNTREPRINDERE INDIVIDUALĂ^34241372^Galaţi^Municipiul Tecuci, MOVILEI 4G
PLASTERMAL SRL^25465672^Giurgiu^Sat Valea Dragului, Comuna Valea Dragului, Str. VALEA LUI DRAGU 578
DECO CERAMIC DESIGN S.R.L.^40195777^Constanţa^Municipiul Constanţa, MUNCEL 21
RĂZVAN-TRAVEL SRL^25634020^Iaşi^Municipiul Iaşi, Aleea ŞTEFAN PROCOPIU 3
CALL NEWS PUBLICITATE SRL^34327342^Călăraşi^Municipiul Călăraşi, CUZA VODĂ 9
MORNINGSTAR MARKETING S.R.L.^40720159^Bucureşti^Bucureşti Sectorul 6, PRECIZIEI 14
FARKAS J-A JANOS ÎNTREPRINDERE INDIVIDUALĂ^25924007^Harghita^Sat Lutiţa, Comuna Mugeni, Principală 48
NEODONIS SYSTEM S.R.L.^51353198^Satu Mare^Municipiul Satu Mare, LUCIAN BLAGA 407
VETÉSI JÚLIA PERSOANĂ FIZICĂ AUTORIZATĂ^41215791^Covasna^Sat Tamaşfalău, Comuna Zăbala, TAMAŞFALĂU 175
MODRUJ CONSTANTIN PERSOANĂ FIZICĂ AUTORIZATĂ^46246608^Buzău^Sat Berca, Comuna Berca,  
TRUST DEVELOPMENT S.R.L.^42456992^Bihor^Loc. Ştei, Oraş Ştei, POET ANDREI MUREŞANU 23
DUŢĂ ANGELA PFA^42899353^Olt^Municipiul Slatina, ACADEMICIAN PETRE S. AURELIAN 47E
MARC ANSWER S.R.L.^43419429^Mureş^Municipiul Târgu Mureş, ION HELIADE RĂDULESCU 4
PRISACARU V.M. VASILE ÎNTREPRINDERE INDIVIDUALĂ^43191745^Iaşi^Municipiul Iaşi, ION CREANGĂ 23
SONIA HOPE S.R.L.^44901999^Bucureşti^Bucureşti Sectorul 2, VERGULUI 21-29
GENTECH SOLUTIONS S.R.L.^48026870^Bucureşti^Bucureşti Sectorul 6, INDEPENDENŢEI 202 B
CENTRUL DE DEZVOLTARE SMART S.R.L.^45969089^Bucureşti^Bucureşti Sectorul 3, ION MORŢUN 8-12
ARTEMIS CONSULTANTA DE AFACERI S.R.L.^46302600^Cluj^Municipiul Cluj-Napoca, G-RAL EREMIA GRIGORESCU 122-124
GUȚĂ COMCOLETT S.R.L.^46451157^Teleorman^Sat Smârdioasa, Comuna Smârdioasa, PIEŢEI 1
EURO INVEST FLR S.R.L.^46575716^Sibiu^Sat Orlat, Comuna Orlat, NOUĂ 810
RENATA 76 BLANCA S.R.L.^47127443^Satu Mare^Municipiul Satu Mare, MARSILIA 18
BISHARA TOOLS S.R.L.^43785489^Bucureşti^Bucureşti Sectorul 1, HRISOVULUI 2-4
GURCĂ GRK S.R.L.^47405442^Dolj^Municipiul Craiova, RÎULUI 351
G&G VISION S.R.L.^52432052^Covasna^Sat Ojdula, Comuna Ojdula, Braţul Mare 249
FURAK-POP LASZLO PERSOANĂ FIZICĂ AUTORIZATĂ^47436155^Bihor^Municipiul Oradea, DIMITRIE CANTEMIR 2
GFS SPEDITION S.R.L.^48123296^Constanţa^Sat Tortoman, Comuna Tortoman, CAROL I 29
FOTOPAKY S.R.L.^48122401^Bucureşti^Bucureşti Sectorul 3, BARAJUL DUNĂRII 4
TARĂU STĂNEL PERSOANĂ FIZICĂ AUTORIZATĂ^48152003^Buzău^Municipiul Buzău, Lăcrămioarei 1
ASIZ UP S.R.L.^48474106^Cluj^Sat Floreşti, Comuna Floreşti, RĂZOARE 211
POPA D. RADU-IONUŢ PERSOANĂ FIZICĂ AUTORIZATĂ^39834028^Ilfov^Oraş Bragadiru, GHENCEA 33
NOTHING TO DECLARE S.R.L.^48998518^Ilfov^Sat Chiajna, Comuna Chiajna, SERGENT ILIE PETRE 84
PACO THOR RIDES SOCIETATE CU RASPUNDERE LIMITATĂ^50682737^Timiş^Municipiul Timişoara, IEDEREI 2
INTERIOARE MEISTER S.R.L.^51628159^Constanţa^Municipiul Constanţa, MICŞUNELELOR 12
NAVISTECH SOLUTIONS S.R.L.^52241583^Bucureşti^Bucureşti Sectorul 6, INDEPENDENŢEI 202B
IZGĂREANU ALIN-EMANUEL PERSOANĂ FIZICĂ AUTORIZATĂ^52566410^Timiş^Municipiul Timişoara, IONEL PERLEA 9
SUMMIT POSTAVARU S.R.L.^53040740^Braşov^Municipiul Braşov, HĂRMANULUI 49V
RO - DOMUS SRL^12697336^Bucureşti^Bucureşti Sectorul 4, Str. Stînjeneilor 1
DURONET CONSULT SRL^21726716^Bucureşti^Bucureşti Sectorul 4, Str. Cetatea Veche 2
POWER GRID S.R.L.^35334925^Alba^Municipiul Sebeş, OCCIDENTULUI 20
ŞERBAN N. ALIN-IONUŢ PFA^35803088^Olt^Sat Crîmpoia, Comuna Crîmpoia, PRIMĂRIEI 29
ALISTE PRODCOMSERV SRL^7547448^Braşov^Comuna Dumbrăviţa, Str. Mihai Eminescu 150
GREEN VISION FIFTEEN SRL^29002387^Sibiu^Municipiul Mediaş, Str. GRAIA DE JOS 27
PETRICĂ M. MIHAELA CLAUDIA ÎNTREPRINDERE FAMILIALĂ^11010263^Bacău^Sat Mărgineni, Comuna Mărgineni, Principală 192
GILDA GLOBAL SRL^22462477^Argeş^Municipiul Piteşti, CARPENULUI 
ROVE COMERT SRL^9880073^Cluj^Sat Floreşti, Comuna Floreşti, AVRAM IANCU 301
DMI IT SYSTEMS SRL^22405480^Bihor^Loc. Ştei, Oraş Ştei, Aleea MIRON POMPILIU 24
GELLY-LUX SRL^21397044^Timiş^Sat Giroc, Comuna Giroc, Str. GLORIA 17
FACHETI PRESTSERV SRL^28085953^Prahova^Municipiul Ploieşti, Aleea PLATOŞEI 1
