DENUMIRE^CUI^ADR_JUDET^ADRESA
UTIL PROJECT SOLUTIONS S.R.L.^42058083^Ilfov^Sat Berceni, Comuna Berceni, DUMBRAVA ROŞIE 7
INFINITREE S.R.L.^41823837^Bucureşti^Bucureşti Sectorul 2, DRAGOŞ VODĂ 8
RESTAS LUDOVIC PERSOANĂ FIZICĂ AUTORIZATĂ^42575306^Cluj^Municipiul Dej, BRÂNDUŞEI 7
MIAMAR PROJECT S.R.L.^48487149^Constanţa^Loc. Ovidiu, Oraş Ovidiu, PRIMĂRIEI 70
MIRAL REZIGROUP S.R.L.^39479171^Ilfov^Oraş Pantelimon, COVASNA 31
BRAVEMIA S.R.L.^43781258^Bucureşti^Bucureşti Sectorul 3, ATAŞAMENTULUI 1
BUBU GLISA CONSTRUCT S.R.L.^44633071^Timiş^Sat Remetea Mică, Comuna Maşloc,  19
BUTICUL DE INSPIRAŢIE NR.10 S.R.L.^27386834^Ilfov^Sat Brăneşti, Comuna Brăneşti, SOARELUI 144A
NECORAS S.R.L.^48603626^Bacău^Loc. Buhuşi, Oraş Buhuşi, BODEŞTI 179
SMART BUYS RETAIL S.R.L.^45749962^Botoşani^Municipiul Botoşani, PRIMĂVERII 14
NADIA ODEH DENT S.R.L.^46147647^Cluj^Municipiul Cluj-Napoca, PEANA 8
BURETA DAMIAN S.R.L.^46838448^Constanţa^Loc. Năvodari, Oraş Năvodari, LINIŞTII 45-47
SALESUP S.R.L.^47416042^Dolj^Municipiul Craiova, SPANIA 7
BEBE STAR BET S.R.L.^47549499^Ilfov^Sat Tânganu, Comuna Cernica, NICOLAE BĂLCESCU 2
ADM GRAINS PRODUCTION COOPERATIVĂ AGRICOLĂ^48112122^Constanţa^Sat Cogealac, Comuna Cogealac, ALEXANDRIA 1
BOTIȘ EVELIN-MIRELA PERSOANĂ FIZICĂ AUTORIZATĂ^48371038^Cluj^Sat Batin, Comuna Unguras, PRINCIPALA 249
GEC & COR IMPEX S.R.L.^49447126^Bucureşti^Bucureşti Sectorul 4, LUICA 27
CRETWARE S.R.L.^49422415^Cluj^Sat Dezmir, Comuna Apahida, SOPONITA 13
HUBER SMILE DESIGN S.R.L.^51525331^Braşov^Municipiul Braşov, MERILOR 1A
DELTA TECH PRO SOCIETATE CU RASPUNDERE LIMITATĂ^52900749^Satu Mare^Municipiul Satu Mare, BALTA BLONDĂ 50
PEANĂ IOAN PERSOANĂ FIZICĂ AUTORIZATĂ^52955612^Sibiu^Sat Cristian, Comuna Cristian, XVII 5
INTERMEDIA EXPEDITION S.R.L.^53176076^Bucureşti^Bucureşti Sectorul 2, MIHAIL IVANOVICI GLINKA 7
MEV FORCE S.R.L.^53408397^Botoşani^Municipiul Botoşani, MIHAI EMINESCU 97A
DANKE INSTAL SRL^6133790^Bucureşti^Bucureşti Sectorul 1, BIHOR 19
WING TRADE SRL^5393610^Bucureşti^Bucureşti Sectorul 3, SOLD. NICULAE SEBE 15
AWRR SUN 115 SRL^28632422^Bucureşti^Bucureşti Sectorul 3, COLŢEI 8
ANNE-MARIE STYLE PRODCOM SRL^27762513^Bucureşti^Bucureşti Sectorul 6, Aleea DEALUL MĂCINULUI 1B
AUTO RAHEL SRL^26274654^Alba^Sat Poiana Ampoiului, Comuna Meteş,  83
TECHNIC & MUSICAL COMPANY SRL^6785921^Arad^Municipiul Arad, Str. SCOALEI 39
EDILGEM INTERNATIONAL SRL^18137184^Arad^Municipiul Arad, Str. ŞTEFAN CICIO POP 12-14
ŢABREA ELENA ÎNTREPRINDERE INDIVIDUALĂ^34536705^Suceava^Sat Glodu, Comuna Panaci,  52
ELGA PRO SRL^19014252^Neamţ^Loc. Târgu Neamţ, Oraş Târgu Neamţ, Str. MĂRĂŞEŞTI 119
PINO ITARO SRL^28158150^Braşov^Sat Dridif, Comuna Voila,  200
NO. 1 GOURMET SRL^26928155^Braşov^Municipiul Braşov, MUREŞENILOR 13
ŞUTEU ALEX DAN PERSOANĂ FIZICĂ AUTORIZATĂ^34507530^Mureş^Municipiul Sighişoara, DALIILOR 14
ADI ORTODENT SRL^23459925^Cluj^Municipiul Cluj-Napoca, Str. TARNITA 2
EVIDEXCONT SRL^25076918^Bihor^Municipiul Marghita, CRINULUI 4
METALCOS SRL^13725256^Hunedoara^Municipiul Hunedoara, IANCU DE HUNEDOARA 1
VÂRTOPEAN ION CAZANGIU PERSOANĂ FIZICĂ AUTORIZATĂ^26127050^Hunedoara^Sat Poiana Răchiţelii, Comuna Cerbăl,  45
CONTIU GHEORGHE ÎNTREPRINDERE INDIVIDUALĂ^21681541^Maramureş^Municipiul Baia Mare, B-dul UNIRII 7
CHIŢU I.  GHEORGHE PERSOANĂ FIZICĂ AUTORIZATĂ^21732750^Prahova^Sat Ocina de Sus, Comuna Adunaţi,  167
PATIPREDA LOUISE S.R.L.^41529905^Galaţi^Municipiul Galaţi, OŢELARILOR 21
T.S.C. METAL CONCEPT SRL^19835045^Constanţa^Municipiul Constanţa, INTERIOARĂ 3 
M & A BIOHUMUS SRL^37453914^Braşov^Sat Beclean, Comuna Beclean, BECLEAN 322
MIH BLUE SRL^36243698^Constanţa^Sat Nisipari, Comuna Castelu, SPERANŢEI 8
CIOLOBOC MIHAELA MARIANA ÎNTREPRINDERE INDIVIDUALĂ^37027609^Dâmboviţa^Sat Ragu, Comuna Ulieşti,  244
DAMIAN M. STELIAN ÎNTREPRINDERE INDIVIDUALĂ^32984052^Botoşani^Sat Vorona, Comuna Vorona, VORONA 
OSIEAC COSTEL ÎNTREPRINDERE INDIVIDUALĂ^36011469^Dolj^Sat Prunet, Comuna Bratovoeşti,  87
EXPO DAV ELECTRIC S.R.L.^39929390^Arad^Municipiul Arad, PETRU RAREŞ 6
DSA - RALPH CONSULTING SRL^35617816^Galaţi^Municipiul Galaţi, ALBATROSULUI 2
LOTUS FARM SRL^5811305^Buzău^Municipiul Buzău, B-dul UNIRII 
MIMIS STELIAN PETRISOR PERSOANĂ FIZICĂ AUTORIZATĂ^19951651^Giurgiu^Sat Gogoşari, Comuna Gogoşari, Com. GOGOSARI 
MGM ADJUSTERS S.R.L.^40264567^Vaslui^Municipiul Bârlad, REPUBLICII 85
HESITATE INC SRL^37672876^Bucureşti^Bucureşti Sectorul 1, BERVENI 63
MUSCEL ARENA S.R.L.^40558813^Argeş^Municipiul Câmpulung, G-RAL ION DRAGALINA 8B
RALOES MARKET S.R.L.^40932461^Braşov^Sat Augustin, Comuna Augustin, PREOT IOAN GARCEA 200
MARIO FLORI SERV SRL^30921341^Teleorman^Loc. Videle, Oraş Videle, LIPSCANI 6
RAMART PROFIL S.R.L.^38444507^Ialomiţa^Sat Mihail Kogălniceanu, Comuna Mihail Kogălniceanu, MORII 40
GRĂDINILE DRĂGĂŞANI COOPERATIVĂ AGRICOLĂ^41227311^Vâlcea^Municipiul Drăgăşani, BELŞUGULUI 74
ARDEU DUMITRU CONSTANTIN PERSOANĂ FIZICĂ AUTORIZATĂ^41476819^Alba^Sat Craiva, Comuna Cricău,  31
VICTOR ARGHIR CONSTRUCT S.R.L.^41872112^Giurgiu^Sat Căscioarele, Comuna Găiseni, Monumentului 57
VERSUS ENGINEERING S.R.L.^46219344^Bucureşti^Bucureşti Sectorul 6, Timişoara 58J
CAMLIV EXPERT S.R.L.^42586569^Bucureşti^Bucureşti Sectorul 2, RIPICENI 1
TUDOR E. IONEL PERSOANĂ FIZICĂ AUTORIZATĂ^43075252^Brăila^Sat Chiscani, Comuna Chiscani, PRINCIPALĂ 185
NICU-DOREL TRANSPORT S.R.L.^43050908^Arad^Municipiul Arad, Antim Ivireanul 36A
SUSPEDEAL UN HUB DIGITAL S.R.L.^43206226^Bucureşti^Bucureşti Sectorul 3, COMPLEXULUI 1
