DENUMIRE^CUI^ADR_JUDET^ADRESA
VALCOM DAVID SAMUEL LORENA S.R.L.^46914057^Teleorman^Sat Siliştea-Gumeşti, Comuna Siliştea-Gumeşti, Şcolii 636
SPECIALE MODE GOLD S.R.L.^46993310^Argeş^Sat Smeura, Comuna Moşoaia, LIBERTĂŢII 1
ALDEA MONICA-MANUELA PERSOANĂ FIZICĂ AUTORIZATĂ^47107411^Cluj^Municipiul Cluj-Napoca, OLTULUI 12A
TEAM DREAM EVENTS S.R.L.^46919887^Alba^Municipiul Alba Iulia, ARNSBERG 38
ASIMOB CONSULTING S.R.L.^49836751^Suceava^Oraş Liteni, PRIMĂVERII 7
MDM BUSINESS S.R.L.^50269421^Gorj^Sat Poiana, Comuna Turburea, Poiana de sus 516
ADIOPREA S.R.L.^47139634^Dolj^Municipiul Craiova, POTELU 40
GABSILV TOTAL RECYCLING S.R.L.^46870686^Dâmboviţa^Sat Costeştii din Vale, Comuna Costeştii din Vale, Căpşunilor 464
SIGHEARTĂU MARIOARA ÎNTREPRINDERE INDIVIDUALĂ^46952271^Bistriţa-Năsăud^Municipiul Bistriţa, MUNCELULUI 3
MIRON COSTEL-LIVIU PERSOANĂ FIZICĂ AUTORIZATĂ^47010507^Suceava^Municipiul Fălticeni, CUZA VODĂ 
ÎNVAŢĂ DE 10 S.R.L.^46760640^Suceava^Sat Şcheia, Comuna Şcheia, Rulmentului 103
LA IOSIFESTI COMPX S.R.L.^46785211^Bucureşti^Bucureşti Sectorul 3, IOSIFEŞTI 1
SZABO MELINDA MONIKA PERSOANĂ FIZICĂ AUTORIZATĂ^47136085^Bihor^Municipiul Marghita, PANDURILOR 25
AL-NAYA PRO ENTERPRISE S.R.L.^47086297^Maramureş^Municipiul Baia Mare, Ioan Slavici 1A
NICULA COSMIN PERSOANĂ FIZICĂ AUTORIZATĂ^47133240^Bucureşti^Bucureşti Sectorul 4, COVASNA 33
LIPS FACTORY BY ANNA TURCU S.R.L.^47116410^Argeş^Sat Zărneşti, Comuna Mălureni,  51
AUTHENTIC IMAT INVEST S.R.L.^47471470^Cluj^Sat Floreşti, Comuna Floreşti, CETĂŢII 61
WEBNINJA SOFTWARE CREATION S.R.L.^47411851^Ilfov^Oraş Bragadiru, GHIDICENI 65
BAD KARMA INC S.R.L.^47243243^Bihor^Municipiul Oradea, MORII 17B
VISUALICE CREATIVE SOLUTIONS S.R.L.^47493509^Bucureşti^Bucureşti Sectorul 1, VICTORIEI 155
MIRUNA'S HEART JOB S.R.L.^47367870^Buzău^Sat Berca, Comuna Berca, 1 IUNIE 436 B
EVASTAR DRIVE S.R.L.^47460358^Prahova^Municipiul Ploieşti, MATEI BASARAB 18A
DIGITAL PEAK MARKETING S.R.L.^47601368^Bucureşti^Bucureşti Sectorul 1, DR. IACOB FELIX 41
AGIU AUREL-IULIAN PERSOANĂ FIZICĂ AUTORIZATĂ^47413925^Olt^Sat Izbiceni, Comuna Izbiceni, CORABIEI 72
APPTIVITY INNOVATIVE DIGITAL SOLUTIONS S.R.L.^47193617^Bucureşti^Bucureşti Sectorul 1, FIORDULUI 7
AJUDEANU ANDREI COSMIN PERSOANĂ FIZICĂ AUTORIZATĂ^47553392^Braşov^Municipiul Braşov, PRIVIGHETORII 5
BESTPLAY S.R.L.^47579163^Bucureşti^Bucureşti Sectorul 3, Unirii 61
CRAIOVEANU BIANCA PERSOANĂ FIZICĂ AUTORIZATĂ^47467038^Sibiu^Municipiul Sibiu, ALBA IULIA 49
SPOT VICTORY S.R.L.^47567916^Cluj^Municipiul Cluj-Napoca, DOROBANŢILOR 111
PASC M. PAUL-ADRIAN PERSOANĂ FIZICĂ AUTORIZATĂ^47462367^Cluj^Sat Floreşti, Comuna Floreşti, SUB CETATE 134G
MOCĂNAŞU ANICA ÎNTREPRINDERE INDIVIDUALĂ^47582320^Bacău^Sat Racova, Comuna Racova, AURORA  1
DAPP GLOBAL DYNAMICS S.R.L.^47592200^Bihor^Municipiul Oradea, IACOBINILOR 8
MAXROYAL TRUCK S.R.L.^49041127^Iaşi^Sat Mădârjeşti, Comuna Bălţaţi,  63
WINE ZONE S.R.L.^47527466^Ilfov^Oraş Popeşti Leordeni, MIRĂSLĂU 1
OLTEANU MARIAN-CRISTIAN PERSOANĂ FIZICĂ AUTORIZATĂ^47635875^Maramureş^Municipiul Baia Mare, DECEBAL 18
IASBET LOTTERY S.R.L.^47635484^Dolj^Sat Pleniţa, Comuna Pleniţa, GUTUIULUI 2
PREFABRICATE VICOV S.R.L.^47478797^Suceava^Oraş Vicovu de Sus, CALEA CERNĂUŢI 270
SILVER MEDIA S.R.L.^47352399^Timiş^Sat Dumbrăviţa, Comuna Dumbrăviţa, GRĂNICERI 1
ARY BEST FOOD S.R.L.^47330099^Vâlcea^Loc. Călimăneşti, Oraş Călimăneşti, NICOLAE BĂLCESCU 101
BRA MARKA S.R.L.^47489168^Mureş^Sat Aluniş, Comuna Aluniş, ALUNIŞ 374
VASIS MOTORS S.R.L.^47594139^Timiş^Sat Fibiş, Comuna Fibiş,  347
VENTES DE REBE S.R.L.^47488847^Ilfov^Oraş Voluntari, ANA IPĂTESCU 89
JIANU FLORIN PERSOANĂ FIZICĂ AUTORIZATĂ^47242191^Bucureşti^Bucureşti Sectorul 6, ARHEOLOGILOR 2
CHERI STUDIO S.R.L.^47492384^Satu Mare^Municipiul Satu Mare, DARA 120
SCALE CED S.R.L.^47390139^Ilfov^Sat Ştefăneştii de Jos, Comuna Ştefăneştii de Jos, Libertăţii 4
MOLDOVAN-VRÎNCEANU GABRIELA PERSOANĂ FIZICĂ AUTORIZATĂ^47801927^Bacău^Municipiul Moineşti, 1 MAI 60B
MORARU I. SORIN PERSOANĂ FIZICĂ AUTORIZATĂ^47802507^Caraş-Severin^Municipiul Reşiţa, POIANA GOLULUI 5
DRP FACTORY S.R.L.^40071752^Covasna^Municipiul Sfântu Gheorghe, GEN. GRIGORE BĂLAN 44
ADO IMOB CONSTRUCT S.R.L.^50121564^Bucureşti^Bucureşti Sectorul 6, SG. CONSTANTIN MOISE 5D
BUTACU MARIO-GEORGIAN PERSOANĂ FIZICĂ AUTORIZATĂ^47879080^Timiş^Municipiul Timişoara, Dr. Grigore T. Popa 30
DOBRE MIREL-CĂTĂLIN ÎNTREPRINDERE INDIVIDUALĂ^47917515^Prahova^Sat Târgşoru Nou, Comuna Ariceştii Rahtivani, Pădurii 77
D.C.M. IMOBILIARE S.R.L.^47879276^Mureş^Municipiul Târnăveni, PREFECT VASILE MOLDOVAN 73
PLURIDIO HOLDING INTERNATIONAL S.R.L.^48004147^Bucureşti^Bucureşti Sectorul 6, ORHIDEELOR 15A
MIRU-SAB-PET S.R.L.^47818155^Botoşani^Sat Roma, Comuna Roma, Bujorului 2
VASCO LANKA S.R.L.^48010688^Bucureşti^Bucureşti Sectorul 3, Sold. Nicolae T. Sebe 4
POPESCU C. SERGIU PERSOANĂ FIZICĂ AUTORIZATĂ^47894969^Braşov^Municipiul Braşov, LACURILOR 3
SERV TECHNOLOGY S.R.L.^47986728^Braşov^Sat Hărman, Comuna Hărman, LILIACULUI 25
TEAMTRANS S.R.L.^47687904^Ilfov^Sat Islaz, Comuna Brăneşti, LOTRULUI 60
FRUNZĂ ALEXANDRA-ELENA ÎNTREPRINDERE INDIVIDUALĂ^48060830^Iaşi^Sat Alexandru cel Bun, Comuna Vlădeni,  
