DENUMIRE^CUI^ADR_JUDET^ADRESA
FLOREX BARONII SRL^24216118^Argeş^Sat Galeşu, Comuna Brăduleţ,  128A
CELAND CI ESTATE SRL^29502048^Argeş^Municipiul Piteşti, Str. DÂRZUL 11B
AMIRCO 2016 IMPORT SRL^36166765^Bucureşti^Bucureşti Sectorul 1, CARPENULUI 9
PAPUC CORNELIA-FLORENTINA ÎNTREPRINDERE FAMILIALĂ^31157502^Argeş^Municipiul Piteşti, CRAIOVEI 
PRECUP E. NICOLAE PERSOANĂ FIZICĂ AUTORIZATĂ^31835389^Argeş^Municipiul Câmpulung, LT. DUMITRU LAZEA 8
SANCO SAFE CONSTRUCT SRL^35004005^Bucureşti^Bucureşti Sectorul 6, NERA 2
BOŞCĂNECI VICTOR-MARIAN ÎNTREPRINDERE INDIVIDUALĂ^34321650^Argeş^Sat Negreni, Comuna Dîrmăneşti,  133
MARIA CRISTINA SPEDITION S.R.L.^35856686^Argeş^Sat Sămara, Comuna Poiana Lacului,  122
RISTEA NICOLETA-ALEXANDRA ÎNTREPRINDERE INDIVIDUALĂ^36262878^Argeş^Municipiul Piteşti, FĂGĂRAŞ 6
ŞERBAN SILVIA-LILIANA PERSOANĂ FIZICĂ AUTORIZATĂ^37074783^Argeş^Sat Călineşti, Comuna Călineşti,  399
ALEMAR VIC DENT SRL^37829076^Argeş^Municipiul Piteşti, BĂNĂNĂI 13
PROLEXMAT LOGISTIC S.R.L.^45630073^Suceava^Sat Dumbrăveni, Comuna Dumbrăveni,  753
AZ EDIL ANDREEA STEF SRL^38068402^Argeş^Municipiul Curtea de Argeş, CHIRIŢEŞTI 1
DAFCOM INTERNATIONAL SRL^20567302^Braşov^Municipiul Săcele, Str. Viitorului 23
MIMETHIC SRL^22780853^Braşov^Municipiul Braşov, Str. CARPAŢILOR 13
GAMARAS SRL^23526005^Braşov^Sat Prejmer, Comuna Prejmer, Str. Mare 502
X-TRANS SRL^18893242^Braşov^Municipiul Braşov, ZIZINULUI 109E
IEREMINCIUC COM SRL^18695652^Braşov^Municipiul Braşov, Aleea MAGNOLIEI 14
IDEAL BIJOUX SRL^31008993^Bacău^Municipiul Bacău, BANATULUI 4
BAMIROM GRUP SRL^31949669^Bacău^Sat Fundu Răcăciuni, Comuna Răcăciuni, FUNDU RĂCĂCIUNI 29
MARIO & MATTI SRL^33188033^Bacău^Municipiul Oneşti, REPUBLICII 64
MATEI OANA-ALEXANDRA ÎNTREPRINDERE INDIVIDUALĂ^34327466^Bacău^Sat Plopana, Comuna Plopana, PLOPANA 95
VALERIA TRADE MARKET SRL^34252975^Bacău^Municipiul Oneşti, JUPITER 5
POIANA DOI BRAZI SRL^36234096^Bacău^Sat Fundu Răcăciuni, Comuna Răcăciuni, FUNDU RĂCĂCIUNI 143
GED PROJECT SRL^36334770^Bacău^Sat Nicolae Bălcescu, Comuna Nicolae Bălcescu, NICOLAE BĂLCESCU 538
AIGRID SYSTEMS S.R.L.^51493930^Bucureşti^Bucureşti Sectorul 2, CPT. JUVERDEANU 104
QWARIE EMEA SRL^36129350^Bacău^Municipiul Bacău, ŞTEFAN CEL MARE 40A
EXPRES METAL PRODCOM SRL^37795658^Bacău^Sat Răchitoasa, Comuna Răchitoasa, Principală 
MICADI ASIG - AGENT DE ASIGURARE SRL^16834045^Bistriţa-Năsăud^Sat Sintereag, Comuna Sintereag,  127
VOGMARICOS IMPEX SRL^10694651^Bistriţa-Năsăud^Municipiul Bistriţa, Str. STEFAN CEL MARE 3
VARGA A. VALER ÎNTREPRINDERE FAMILIALĂ^17461564^Bistriţa-Năsăud^Sat Sânmihaiu de Câmpie, Comuna Sinmihaiu de Câmpie,  214
RAHELALIE SRL^13214049^Bistriţa-Năsăud^Sat Negrileşti, Comuna Negrileşti, Str. PRINCIPALA 174
NASTICOM IMPEX SRL^4045390^Cluj^Municipiul Cluj-Napoca, Str.  TRAIAN VUIA 134
ABRAZCOM EXIM SRL^8640749^Cluj^Municipiul Cluj-Napoca, Str.  AVRAM IANCU 16
ROVENETA SRL^10724469^Cluj^Municipiul Cluj-Napoca, Str.  CORNELIU COPOSU 167
NOTRICH CAS SRL^35434681^Teleorman^Municipiul Roşiori de Vede, DUNĂRII 
ACHIM ANDREI-AUGUSTIN ÎNTREPRINDERE INDIVIDUALĂ^34992019^Teleorman^Sat Cetatea, Comuna Rădoieşti, CETATEA 
JUGANU DAIANA-ANDREEA PERSOANĂ FIZICĂ AUTORIZATĂ^34622946^Teleorman^Comuna Crângeni, CRÎNGENI 
AUTO AGRO ELENA SRL^37095506^Teleorman^Sat Scrioaştea, Comuna Scrioaştea, Principală 338
YOU & ME SRL^13655797^Cluj^Municipiul Cluj-Napoca, Str.  STELUTEI 11
TOTAL CENTER SRL^15276641^Cluj^Municipiul Cluj-Napoca, Aleea MOLDOVEANU 10
NETROM COMUNICATII SRL^15124198^Cluj^Municipiul Cluj-Napoca, René Jeannel 6
PATAPROD SRL^13814469^Cluj^Comuna Apahida, Sat   PATA FN
ELECTROCONSTRUCTIA ELCO SA^3675770^Mureş^Municipiul Târgu Mureş, Str. UZINEI 4
NARCISA ALICOM SRL^2849925^Mureş^Municipiul Reghin, VASILE L. POP 19
WOLFBRAND ADVERTISING S.R.L.^2851488^Mureş^Municipiul Târgu Mureş, Str. EVREILOR MARTIRI 23
ARNA IMPEX SRL^5796892^Mureş^Municipiul Târgu Mureş, Str. TRANSILVANIA 21
