DENUMIRE^CUI^ADR_JUDET^ADRESA
BIOLACT CONCEPT S.R.L.^40360874^Buzău^Sat Focşănei, Comuna Vadu Paşii, PRINCIPALĂ 39
ALFAELLAS SRL^16283663^Galaţi^Municipiul Galaţi, Str. BRAILEI 1
MAKINVEST COM SRL^13593023^Galaţi^Municipiul Galaţi, GEORGE COŞBUC 257
BIAROX SRL^17379236^Galaţi^Municipiul Galaţi, Str. CĂLUGĂRENI 13
DRAGOMIR RELU PERSOANĂ FIZICĂ AUTORIZATĂ^18871686^Galaţi^Sat Cudalbi, Comuna Cudalbi,  2403
VALMIRANGHEL SRL^25068540^Galaţi^Municipiul Galaţi, BLAJ 2
BATTLEGROUP SRL^33686470^Bucureşti^Bucureşti Sectorul 1, LT. RADU BELLER 3-5
BENDIS INVEST SRL^33640545^Bucureşti^Bucureşti Sectorul 1, STRĂBUNĂ 3
IONIŢĂ GABRIEL-CRISTIAN PERSOANĂ FIZICĂ AUTORIZATĂ^26408985^Galaţi^Municipiul Galaţi, OLTULUI 13
PELLOKATT SRL^26474890^Galaţi^Municipiul Galaţi, B-dul DUNĂREA 60
AUTO BĂTRÎNCA S.R.L.^40354970^Olt^Sat Vişina Nouă, Comuna Vişina Nouă, INTRAREA EUROPEI 9
FLORIN TACTIC S.R.L.^39162660^Bucureşti^Bucureşti Sectorul 1, TARAFULUI 3
KTMC KONSTRUCTII CONSULTING S.R.L.^33732460^Bucureşti^Bucureşti Sectorul 6, Ghencea 30
HYPERSPACE SYSTEMS S.R.L.^36384263^Ilfov^Sat Ghermăneşti, Comuna Snagov, GHERMĂNEŞTI 153
AUTOTRADER DEALER S.R.L.^38536910^Bucureşti^Bucureşti Sectorul 6, IULIU MANIU 516
OTO-BET SRL^33599080^Bucureşti^Bucureşti Sectorul 1, CHITILEI 111
HOME SERVICE INTERNATIONAL SRL^33362252^Bucureşti^Bucureşti Sectorul 6, CONSTRUCTORILOR 3
IACRISDO TRANS S.R.L.^39051344^Galaţi^Municipiul Galaţi, ING. ANGHEL SALIGNY 106
ROBETE ANA-LAURA PERSOANĂ FIZICĂ AUTORIZATĂ^33373707^Bucureşti^Bucureşti Sectorul 2, VERGULUI 19
VIBE UNITED S.R.L.^38963105^Bucureşti^Bucureşti Sectorul 4, CETATEA VECHE 8
ŞUŢ VLAD-BOGDAN PERSOANĂ FIZICĂ AUTORIZATĂ^35959690^Bihor^Municipiul Oradea, VLĂDEASA 74B
HR BULB S.R.L.^38369782^Cluj^Municipiul Cluj-Napoca, ION NEGOIŢESCU 2
ALMATRAD SYNTAX SOCIETATE CU RASPUNDERE LIMITATĂ^38439888^Dolj^Municipiul Craiova, PUTNEI 21
HAȚEGAN MARINELA ÎNTREPRINDERE INDIVIDUALĂ^38647234^Caraş-Severin^Sat Obreja, Comuna Obreja, OBREJA 519
OPTISAN ADAMO S.R.L.^41908470^Mureş^Municipiul Sighişoara, ILARIE CHENDI 38
STREULEA CONSTANTIN PERSOANĂ FIZICĂ AUTORIZATĂ^34072648^Bucureşti^Bucureşti Sectorul 6, Timişoara 48
WETRANSLATE COMPLETE SOLUTIONS SRL^34110946^Bucureşti^Bucureşti Sectorul 4, ANTON BACALBAŞA 14
MITROI DESIGN S.R.L.^37020651^Timiş^Sat Giroc, Comuna Giroc, SOARELUI 30
ILARIA LOGISTIC SRL^34085443^Bucureşti^Bucureşti Sectorul 6, ENTUZIASMULUI 7
CLICKME S.R.L.^39391710^Vaslui^Municipiul Vaslui, SCRIITOR IOAN ADAM 36
STEGI RG ARBAIT S.R.L.^39378924^Galaţi^Sat Buceşti, Comuna Iveşti, 1 DECEMBRIE 58
E-FABRIK ON LINE CONCEPT S.R.L.^38602640^Ilfov^Sat Fundeni, Comuna Dobroeşti, Garii 1
SERVICII DE TAPITARE & RETAPITARE SRL^36252807^Bucureşti^Bucureşti Sectorul 3, SG. DUMITRU PENE 5
MARCOS HOME SOLUTIONS S.R.L.^38977160^Bucureşti^Bucureşti Sectorul 5, CIULEANDRA 11
BTO TECH S.R.L.^38529719^Braşov^Municipiul Braşov, FAGURULUI 22C-2
FLOVAS INVEST SRL^34516880^Bucureşti^Bucureşti Sectorul 5, GREACA 26
ADMC INTERNATIONAL DESIGN & CONSTRUCTION S.R.L.^41158343^Arad^Municipiul Arad, IUSTIN MARŞIEU 6
YCT RX MED S.R.L.^38921525^Neamţ^Municipiul Piatra Neamţ, CLEMENT POMPILIU 2
SOLIDBRIDGE MANAGEMENT S.R.L.^39335206^Giurgiu^Municipiul Giurgiu, GRIVIŢEI 94
IFOAM AG S.R.L.^38630950^Ilfov^Sat Domneşti, Comuna Domneşti, Tudor Vladimirescu 393
NICA ALIN ÎNTREPRINDERE FAMILIALĂ^39128324^Bihor^Sat Ghighişeni, Comuna Rieni, GHIGHIŞENI 250
PETRUS NORD S.R.L.^39330888^Timiş^Sat Ghilad, Comuna Ghilad,  896
FLORDALINA S.R.L.^38772849^Bihor^Sat Botean, Comuna Ineu, BOTEAN 30
AEROTEK SERVICE SRL^35793677^Bucureşti^Bucureşti Sectorul 6, Timişoara 104B
FRUITS DISCOUNT SRL^34258170^Bucureşti^Bucureşti Sectorul 5, FRAŢII BUZEŞTI 52
FLUX DINAMIC DELTA S.R.L.^38751366^Ilfov^Oraş Chitila, BANATULUI 2
