DENUMIRE^CUI^ADR_JUDET^ADRESA
BIGMARKO S.R.L.^51785420^Galaţi^Municipiul Tecuci, LIBERTĂŢII 17
PREMIUM SERVICII MENTENANTA EAI S.R.L.^51686273^Bucureşti^Bucureşti Sectorul 3, FETEŞTI 52
HOLLAND FLOWER DECO S.R.L.^51714683^Bucureşti^Bucureşti Sectorul 5, ALEXANDRIA 19
OLIA PRO CONSULT S.R.L.^51715603^Botoşani^Sat Cătămăreşti-Deal, Comuna Mihai Eminescu, Begoniilor 38 E
ELECTRO 24 S.R.L.^51778300^Timiş^Loc. Sânnicolau Mare, Oraş Sânnicolau Mare, NEGRU VODĂ 2
ELECTROLYMPUS S.R.L.^51770195^Bacău^Municipiul Bacău, ALUNULUI 1
BRATONIZED S.R.L.^51695522^Bucureşti^Bucureşti Sectorul 1, CPT. OCTAV COCĂRĂSCU 89B
POPCERB S.R.L.^51710312^Bucureşti^Bucureşti Sectorul 5, DR. LEONTE ANASTASIEVICI 9
MICU MIHNEA LUCIAN PERSOANĂ FIZICĂ AUTORIZATĂ^51756522^Braşov^Municipiul Braşov, MOLIDULUI 7
DZ PREMIUM AUTO S.R.L.^51751240^Ilfov^Sat Dragomireşti-Vale, Comuna Dragomireşti-Vale, VIŞINILOR 49
GRELIN LOGISTIC S.R.L.^51667824^Prahova^Sat Colceag, Comuna Colceag, Teilor 1
SENIOR SERVICES OFFICE S.R.L.^51853525^Bucureşti^Bucureşti Sectorul 6, PARTIZANILOR 3
RĂILEANU PETRU PERSOANĂ FIZICĂ AUTORIZATĂ^51852775^Iaşi^Municipiul Iaşi, VITEJILOR 23
WASHPRO IMPORT S.R.L.^51872268^Bucureşti^Bucureşti Sectorul 5, TOPORAŞI 41
BIJEC ANDREEA PERSOANĂ FIZICĂ AUTORIZATĂ^51894894^Suceava^Municipiul Suceava, STAŢIUNII 15
SORICĂ I GABRIEL PERSOANĂ FIZICĂ AUTORIZATĂ^51871920^Bucureşti^Bucureşti Sectorul 5, TEIUŞ 17
ENCULESCU GEORGE PERSOANĂ FIZICĂ AUTORIZATĂ^51913120^Dolj^Municipiul Craiova, ION ANESTIN 3
NADEN INVESTMENT S.R.L.^51853231^Bucureşti^Bucureşti Sectorul 5, DR. FLOREA TEODORESCU 4
HOGEA I. IONUȚ-EDUARD-RAFAEL PERSOANĂ FIZICĂ AUTORIZATĂ^51889936^Prahova^Loc. Sinaia, Oraş Sinaia, MIHAIL KOGĂLNICEANU 32
LICURICEANU ALINA PERSOANĂ FIZICĂ AUTORIZATĂ^51859722^Bucureşti^Bucureşti Sectorul 1, BUCUREŞTII NOI 136
SMARTPOINT DIGITAL VISION S.R.L.^51902210^Iaşi^Municipiul Iaşi, Fântânilor 43
ȘIMĂNDAN DENISA-GEORGIANA PERSOANĂ FIZICĂ AUTORIZATĂ^51915920^Arad^Municipiul Arad, VIDRA 13
PETRUȚ PAUL-IOAN PERSOANĂ FIZICĂ AUTORIZATĂ^51919298^Mureş^Municipiul Târgu Mureş, PROF. DR. VASILE SĂBĂDEANU 11
BUBURIT TAXI S.R.L.^51869807^Vaslui^Municipiul Vaslui, LIBERTĂŢII 
FUTURE HOUSE CONSTRUCT S.R.L.^51844322^Braşov^Municipiul Braşov, INDEPENDENŢEI 80
N&C BOOK SEA S.R.L.^52057409^Constanţa^Loc. Năvodari, Oraş Năvodari, Prelungirea D13 6D
ETERN REAL ESTATE S.R.L.^51975069^Bucureşti^Bucureşti Sectorul 6, BÂRSĂNEŞTI 1
NORDHAUS BUILD SOCIETATE CU RASPUNDERE LIMITATĂ^52015675^Iaşi^Municipiul Iaşi, ANASTASIE PANU 50
ELEGANT AYAN S.R.L.^51982589^Ilfov^Loc. Pantelimon, Oraş Pantelimon, Viilor 91
SAFE MOBILLE S.R.L.^52024185^Bucureşti^Bucureşti Sectorul 2, COLENTINA 16
DRĂGHICI COSMIN-FLORIN ÎNTREPRINDERE INDIVIDUALĂ^52040601^Dolj^Sat Galicea Mare, Comuna Galicea Mare, SPERANŢEI 3
NASTASE NICOLAE-VILI PERSOANĂ FIZICĂ AUTORIZATĂ^52043640^Neamţ^Municipiul Piatra Neamţ, PAHARNICULUI 2
ACET PROPERTY S.R.L.^52059230^Timiş^Sat Giroc, Comuna Giroc, Făgetului 6
MUȘAT MIHAELA-ANDREEA PERSOANĂ FIZICĂ AUTORIZATĂ^52060714^Bucureşti^Bucureşti Sectorul 1, BUCUREŞTII NOI 136
AUTO B. KOSTY S.R.L.^51965952^Suceava^Sat Cumpărătura, Comuna Bosanci, Fălticeni 76
DURA ROBERT-ADRIAN PERSOANĂ FIZICĂ AUTORIZATĂ^51951280^Bucureşti^Bucureşti Sectorul 6, IULIU MANIU 18
ANDONIE FLORIN-COSMIN PERSOANĂ FIZICĂ AUTORIZATĂ^51978693^Suceava^Municipiul Suceava, PLAIULUI 5A
SIBECHE TUDOR ADRIAN PERSOANĂ FIZICĂ AUTORIZATĂ^52028420^Braşov^Municipiul Braşov, TRIFOIULUI 5
VIERU ANCA-MARIA ÎNTREPRINDERE INDIVIDUALĂ^52146891^Bacău^Municipiul Bacău, ALECU RUSSO 57
BERCHE  DANIELA-VERONICA PERSOANĂ FIZICĂ AUTORIZATĂ^52064538^Bistriţa-Năsăud^Loc. Năsăud, Oraş Năsăud, GEORGE COŞBUC 161A
DE TRAS S.R.L.^52065525^Cluj^Municipiul Cluj-Napoca, PĂLTINIŞ 10-12
