DENUMIRE^CUI^ADR_JUDET^ADRESA
N.A.R- CONSTRUCTION S.R.L.^52031620^Bucureşti^Bucureşti Sectorul 6, Valea Cascadelor 19
MMS DRIVE S.R.L.^52027491^Iaşi^Municipiul Iaşi, ION CREANGĂ 59
ZEYNALYAN  KRISTINE PERSOANĂ FIZICĂ AUTORIZATĂ^52235018^Bucureşti^Bucureşti Sectorul 1, VIRGIL MADGEARU 26B
NEGRILĂ MIHAELA-CORNELIA PERSOANĂ FIZICĂ AUTORIZATĂ^52449178^Braşov^Municipiul Braşov, PRIVIGHETORII 3
AXEL FLK S.R.L.^52525810^Alba^Sat Galda de Jos, Comuna Galda de Jos,  104
COJOCARU CIPRIAN-PAVEL PERSOANĂ FIZICĂ AUTORIZATĂ^52957001^Bucureşti^Bucureşti Sectorul 6, Cuminţenia Pământului 8
SAMOILĂ VLĂDUȚ-ADRIAN PERSOANĂ FIZICĂ AUTORIZATĂ^53986226^Tulcea^Sat Greci, Comuna Greci, Părului 1
CIOFAST C&M S.R.L.^54029979^Olt^Sat Mierleştii de Sus, Comuna Perieţi, Înv. Alexandru Toma 374
LABORATOARELE SPUMA SRL^29389721^Bucureşti^Bucureşti Sectorul 2, NICOLAE CÎNEA 59A
VARGA ELENA ADINA FERMIER PERSOANĂ FIZICĂ AUTORIZATĂ^31997550^Satu Mare^Sat Tămăşeni, Comuna Batarci, TĂMĂŞENI 10/A
SESAM SRL^1509879^Olt^Loc. Scorniceşti, Oraş Scorniceşti, Str. TUDOR VLADIMIRESCU 127
ALMAVADI SRL^14302297^Olt^Municipiul Slatina, Str. PRIMĂVERII 8
CIOBANU N. GEORGIANA-ROXANA ÎNTREPRINDERE INDIVIDUALĂ^35661242^Olt^Sat Văleni, Comuna Văleni, Regina Maria 25
TERA ACVILA SRL^5416950^Arad^Municipiul Arad, Str. I.B.DELEANU 6.A
ANDRIUPET SRL^33998480^Bihor^Municipiul Oradea, VĂMII 25
ANDREI ANDREEA OLARU CONSTRUCT S.R.L.^39086288^Vaslui^Sat Bogeşti, Comuna Pogana, BOGEŞTI 228
PROARHITECT CCT CONS SRL^27741936^Prahova^Municipiul Ploieşti, Str. GHEORGHE DOJA 167
BOBIS IMPEX SRL^22785850^Prahova^Municipiul Ploieşti, Str. ARNĂUŢI 3
VASILOIU CLAUDIU PERSOANĂ FIZICĂ AUTORIZATĂ^32029404^Timiş^Municipiul Lugoj, CEAHLĂULUI 27
IANCU IRINA ÎNTREPRINDERE INDIVIDUALĂ^38670601^Vrancea^Municipiul Adjud, EROILOR 
DANCOS PREST 2000 SRL^16337240^Constanţa^Loc. Jupiter, Municipiul Mangalia, ALDEA 30
TEOREMA ENERGY & RECYCLING SRL^31230522^Bucureşti^Bucureşti Sectorul 1, MONTREAL 10
BÎRLEA M M FLORIAN ÎNTREPRINDERE INDIVIDUALĂ^37535771^Dâmboviţa^Sat Lunguleţu, Comuna Lunguleţu, Dositei Filitti 70
FC MILANINTER SRL^36420528^Gorj^Municipiul Târgu Jiu, TEILOR 4
DR. RENERT MEDICAL AESTHETICS SRL^38469412^Braşov^Municipiul Braşov, STEJERIŞULUI 18A
LUCKY OFFICE SRL^34053786^Bucureşti^Bucureşti Sectorul 4, BERCENI 96
CLM ESTIVAL S.R.L.^41136213^Călăraşi^Sat Călăraşii Vechi, Comuna Cuza Vodă, Muntenilor 15
