DENUMIRE^CUI^ADR_JUDET^ADRESA
MARCU OANA CRISTINA PERSOANĂ FIZICĂ AUTORIZATĂ^48351626^Constanţa^Municipiul Constanţa, BANU MIHALCEA 144
POPESCU ALEXANDRU-CODRUT PERSOANĂ FIZICĂ AUTORIZATĂ^48341061^Gorj^Sat Musculeşti, Comuna Bărbăteşti,  185
BRILAND S.R.L.^48664151^Maramureş^Municipiul Baia Mare, GEORGE COŞBUC 50
BOGI & MARIA FLOWER S.R.L.^49604476^Satu Mare^Municipiul Satu Mare, CODRULUI 
TEOGEO CLEANING S.R.L.^49962547^Constanţa^Municipiul Constanţa, HORTENSIEI 10
MATHE C. TIMEA PERSOANĂ FIZICĂ AUTORIZATĂ^50265578^Braşov^Municipiul Braşov, IOAN POPASU 15
CASE ECO-SUSTENABILE S.R.L.^50509311^Neamţ^Loc. Roznov, Oraş Roznov, ȘCOLII I 27
ATLAS STUDIO S.R.L.^50761407^Bucureşti^Bucureşti Sectorul 3, MIHAI BRAVU 255
AN TAI COMIMPEX S.R.L.^51057648^Olt^Loc. Balş, Oraş Balş, NICOLAE BĂLCESCU 165
STOICA C. VALENTIN PERSOANĂ FIZICĂ AUTORIZATĂ^51327270^Bucureşti^Bucureşti Sectorul 4, TOMEŞTI 9
ERIC SOLUTION CONSTRUCT S.R.L.^52097519^Ilfov^Sat Brăneşti, Comuna Brăneşti, I.C. Brătianu 129
MAV COMPLEX S.R.L.^52108405^Constanţa^Municipiul Constanţa, AUREL VLAICU 66
EDITURA FOR YOU SRL^9976160^Bucureşti^Bucureşti Sectorul 1, Str. HAGI GHITA 58
FARCAŞ I. EUGEN ÎNTREPRINDERE INDIVIDUALĂ^32002670^Sălaj^Sat Sub Cetate, Comuna Valcău de Jos, SUBCETATE 26
PRO EURO CONSTRUCTION SRL^27769902^Arad^Loc. Pecica, Oraş Pecica, Str. 112 18
DUMI IMPEX SRL^3097235^Sibiu^Municipiul Sibiu, POET VASILE CÂRLOVA 23
TOP PROFESIONAL MIRB S.R.L.^36918450^Suceava^Sat Arbore, Comuna Arbore,  1322
TARTA COM SRL^8515150^Mureş^Municipiul Târgu Mureş, PANDURILOR 3
MERAKI AGENCY S.R.L.^35950070^Mureş^Municipiul Sighişoara, HORIA 18
OPREA MARINELA PERSOANĂ FIZICĂ AUTORIZATĂ^29168364^Vrancea^Sat Domneşti-Tîrg, Comuna Pufeşti,  
SORELLE NEIMAR SRL^37307471^Cluj^Sat Mica, Comuna Mica, MICĂ 193
HANCHEŞ GABRIEL UTIL ÎNTREPRINDERE INDIVIDUALĂ^28872123^Hunedoara^Sat Căstău, Comuna Beriu,  310K
DOSTE TRANS S.R.L.^31937176^Hunedoara^Municipiul Petroşani, SAMUEL MICU KLEIN 27
BIOLAND SRL^15889140^Timiş^Sat Uivar, Comuna Uivar,  
TICU SRL^10628380^Ilfov^Sat Ostratu, Comuna Corbeanca, PRIMĂVERII 53
CIPOS TURBOTEHNICS SRL^30087301^Ilfov^Oraş Otopeni, FRASINULUI 3
DAL INSTAL DFR SRL^37696964^Timiş^Municipiul Timişoara, ALEXANDRU MOCIONI 2
VLASTAR COM SRL^14448501^Vaslui^Municipiul Vaslui, Str. PETRU RARES 
ALILEN MARS SRL^16148772^Vaslui^Municipiul Huşi, B-dul 1 Mai 13
CONTELIA EXPERT SRL^22448367^Constanţa^Municipiul Constanţa, Str. B.P.HAŞDEU 96
VIO DELTA-BOATS SRL^37963328^Tulcea^Loc. Sulina, Oraş Sulina, Arthur Popescu 18
CASA DE MODE EXTAZ SRL^4385350^Buzău^Municipiul Râmnicu Sărat, ŞTEFAN CEL MARE 25A
MARCU BUSINESS SOLUTIONS SRL^37904429^Bucureşti^Bucureşti Sectorul 3, LĂCRĂMIOAREI 9
BB BUILD ON TOP SRL^28049144^Iaşi^Municipiul Iaşi, Str. DECEBAL 28
MAXIMAXI SRL^33122446^Vâlcea^Oraş Berbeşti, BERBEŞTI 
PROTI GRUP SRL^4105069^Iaşi^Municipiul Iaşi, B-dul POITIERS 25C
MOCEA & CO SRL^22493651^Teleorman^Municipiul Roşiori de Vede, CARPAŢI 66
KALMAN L. JOZSEF ÎNTREPRINDERE INDIVIDUALĂ^29387011^Harghita^Municipiul Odorheiu Secuiesc, Str. ADY ENDRE 1/A
MARIAKYLIE SERV INTERNATIONAL S.R.L.^41376119^Constanţa^Municipiul Mangalia, NEGRU VODĂ 3
NICULA CRISTINA-GABRIELA PERSOANĂ FIZICĂ AUTORIZATĂ^42322400^Timiş^Municipiul Timişoara, STEAUA 
LEB NET INFO S.R.L.^42373170^Bihor^Municipiul Oradea, EPISCOP ROMAN CIOROGARIU 9
MUSKOX INTERNATIONAL S.R.L.^42976383^Braşov^Municipiul Braşov, CARPAŢILOR 65
XENON TUNING GARAGE S.R.L.^43448440^Ilfov^Oraş Bragadiru, DIAMANTULUI 198
VELAGAB SEREMU STAR S.R.L.^43415214^Alba^Municipiul Alba Iulia, CRAIVEI 77
PHOENIX FABRICATIONS S.R.L.^43313966^Alba^Loc. Miceşti, Municipiul Alba Iulia, FĂGĂRAŞ 66
ZERORISK DMV S.R.L.^44050051^Călăraşi^Municipiul Olteniţa, ARGEŞULUI 14-16
CALINA CORNELIA JEAN S.R.L.^45498135^Mehedinţi^Sat Corlăţel, Comuna Corlăţel, CORLĂŢEL 406
GHEORGHE G. FLORINA ÎNTREPRINDERE INDIVIDUALĂ^46036355^Constanţa^Loc. Cernavodă, Oraş Cernavodă, LILIACULUI 2
MAXX REISEN S.R.L.^46469880^Braşov^Municipiul Braşov, GRÂULUI 5-7
GUNICĂ HORIA PERSOANĂ FIZICĂ AUTORIZATĂ^47170923^Ilfov^Sat Petreşti, Comuna Corbeanca, SOCULUI 38
CLEAR-VIEW DESIGN S.R.L.^34751339^Iaşi^Municipiul Iaşi, ARCU 25
POP VLADIMIR ANAMARIA PERSOANĂ FIZICĂ AUTORIZATĂ^48006997^Cluj^Sat Iclod, Comuna Iclod, ICLOD 329A
O.Z.N DRIVE S.R.L.^50594376^Prahova^Municipiul Ploieşti, COZIA 59
PROFITFORM S.R.L.^51905039^Bucureşti^Bucureşti Sectorul 6, VALEA OLTULUI 2
BĂLAN I. VLĂDUȚ-CONSTANTIN PERSOANĂ FIZICĂ AUTORIZATĂ^52359873^Constanţa^Sat Limanu, Comuna Limanu, NORDULUI 19
GRANDPEST S.R.L.^53294314^Timiş^Municipiul Timişoara, PLATANILOR 11
EIGHT CAPITAL GROUP S.R.L.^53460980^Ilfov^Sat Petreşti, Comuna Corbeanca, ANTIGUA 16-18
