DENUMIRE^CUI^ADR_JUDET^ADRESA
IASOMIE IMPEX SRL^15029170^Ilfov^Loc. Voluntari, Oraş Voluntari, Str. GEORGE COSBUC 30C
ALDI SRL^1351980^Prahova^Municipiul Ploieşti, Str. CPT.AVIATOR POPESCU CIOCANEL 4
PLĂIAŞU COMPANY SRL^32201690^Prahova^Sat Vărbila, Comuna Iordăcheanu, VĂRBILA 1A
SUNSHINE DIGITAL COMMUNICATION SRL^31206001^Ilfov^Oraş Otopeni, LUCIAN BLAGA 21
RADU N.P. NICOLAE ÎNTREPRINDERE INDIVIDUALĂ^38777757^Caraş-Severin^Loc. Bocşa, Oraş Bocşa, MĂGURA 31
ROZSA-FRĂTEANU ȘTEFANA-ALEXANDRA PERSOANĂ FIZICĂ AUTORIZATĂ^38796260^Cluj^Municipiul Cluj-Napoca, IAŞILOR 6
CONSUMCOOP BÂRLAD, SOCIETATE COOPERATIVĂ DE GRADUL 1^2808291^Vaslui^Municipiul Bârlad, PALERMO 2
DANICOS PROD SRL^11300852^Vaslui^Sat Fereşti, Comuna Fereşti,  
MORARU C-TIN. MIHAI ÎNTREPRINDERE INDIVIDUALĂ^29105390^Vaslui^Sat Cănţălăreşti, Comuna Ştefan cel Mare,  
BULUGU IONEL ÎNTREPRINDERE INDIVIDUALĂ^34217170^Vaslui^Municipiul Vaslui, HUSULUI 17B
MANU GH MARIAN ÎNTREPRINDERE FAMILIALĂ^11318299^Dâmboviţa^Loc. Ghergani, Oraş Răcari,  360
NEW STYLE IZABEL MOELLER S.R.L.^16765344^Dâmboviţa^Municipiul Târgovişte, Str. COOPERAŢIEI 2
CRISTAL ADMIN SRL^29966633^Bucureşti^Bucureşti Sectorul 4, LAMOTEŞTI 2
TDM GENERAL SURVEY SRL^33001258^Constanţa^Municipiul Constanţa, MAMAIA 288
ACCES CONSULT CONTAB SRL^30269761^Bucureşti^Bucureşti Sectorul 4, ALEXANDRU OBREGIA 2B
DUMITRAȘCU B.L. MARIANA ÎNTREPRINDERE INDIVIDUALĂ^35711138^Dolj^Municipiul Craiova, G-RAL GHEORGHE MAGHERU 37
CASONIANE & POP SRL^9650058^Galaţi^Municipiul Galaţi, Str. LAMINORISTILOR 1
OMNI CHANNEL SOLUTIONS SRL^33820805^Bucureşti^Bucureşti Sectorul 5, REGINA ELISABETA 42
DULCE DIN INIMA S.R.L.^39762150^Giurgiu^Sat Bâcu, Comuna Joiţa, Teilor 7
CASA DE ULEI SRL^37096625^Buzău^Sat Gherăseni, Comuna Gherăseni, DRUMUL CONACULUI 354
LUCA SOFIA ÎNTREPRINDERE INDIVIDUALĂ^26826201^Caraş-Severin^Sat Marga, Comuna Marga, MARGA 305
HADO PIC S.R.L.^41322933^Bihor^Municipiul Salonta, REPUBLICII 117
VANCEA ALIN MARIN PERSOANĂ FIZICĂ AUTORIZATĂ^42870390^Dolj^Sat Malu Mare, Comuna Malu Mare, BECHETULUI 141
HELIOPOLISRO WIND MANAGEMENT S.R.L.^43218760^Bucureşti^Bucureşti Sectorul 1, FLOREASCA 175
TAMBA A. ADRIANA PERSOANĂ FIZICĂ AUTORIZATĂ^43250078^Bihor^Municipiul Oradea, GALILEO GALILEI 26
GAME BRICK S.R.L.^43922829^Bucureşti^Bucureşti Sectorul 6, APUSULUI 83
IZBAŞA MIHAI ÎNTREPRINDERE INDIVIDUALĂ^44858678^Caraş-Severin^Sat Domaşnea, Comuna Domaşnea, DOMAŞNEA 480
STAR ASSET HOLDINGS S.R.L.^44940530^Cluj^Municipiul Cluj-Napoca, TRAIAN VUIA 89
DURSA PROFESSIONAL CLEANING SERVICES S.R.L.^45258230^Bucureşti^Bucureşti Sectorul 6, DEZROBIRII 12
HARMONY ID STUDIO S.R.L.^45570117^Cluj^Municipiul Cluj-Napoca, 21 DECEMBRIE 1989 129
VIEZURELE VESEL S.R.L.^46035279^Bucureşti^Bucureşti Sectorul 3, BUREBISTA 1
RED MANG MARKETING S.R.L.^47050510^Arad^Municipiul Arad, FLUIERULUI 9
COR ELF S.R.L.^47195618^Braşov^Sat Podu Oltului, Comuna Hărman, PRINCIPALĂ FN
GIO PINTI IT S.R.L.^49077058^Timiş^Municipiul Timişoara, VASILE ALECSANDRI 3
RAFA ANDREI-IOVIAN PERSOANĂ FIZICĂ AUTORIZATĂ^51588097^Cluj^Municipiul Cluj-Napoca, BĂIŞOARA 13
GELEŢU LUMINIȚA-CAMELIA PERSOANĂ FIZICĂ AUTORIZATĂ^53910945^Bucureşti^Bucureşti Sectorul 1, Bucureștii Noi 136
BA GLASS ROMANIA S.A.^335588^Bucureşti^Bucureşti Sectorul 3, B-dul THEODOR PALLADY 45
CLINICA O.R.L. DR. MOCANU SRL^18222182^Bucureşti^Bucureşti Sectorul 1, Str. Ştirbei Vodă 86
COLIBABA ELENA ÎNTREPRINDERE INDIVIDUALĂ^32906631^Suceava^Oraş Vicovu de Sus, GEORGE CĂLINESCU 60
TRANSONYK SRL^24677502^Bacău^Sat Preluci, Comuna Agăş,  33
MARIMAN TRANSPORT SRL^14596230^Argeş^Municipiul Piteşti, Str. GAVENII 
POLTRAN INDUSTRIAL SRL^18180311^Argeş^Municipiul Piteşti, Calea BUCUREŞTI 
STOIAN RUXANDRA ÎNTREPRINDERE INDIVIDUALĂ^28450404^Argeş^Municipiul Curtea de Argeş, Str. UNIRII 
RIGMANYI ALBERT JANOS ÎNTREPRINDERE INDIVIDUALĂ^25999905^Mureş^Sat Dubiştea de Pădure, Comuna Hodac,  99
GOIA LETIŢIA PERSOANĂ FIZICĂ AUTORIZATĂ^25460179^Cluj^Municipiul Cluj-Napoca, GURGHIU 4
TARTARUGA INVEST SRL^31521262^Cluj^Municipiul Cluj-Napoca, G-RAL TRAIAN MOŞOIU 16
SUD ELECTRIC GRUP S.R.L.^39078927^Dolj^Municipiul Craiova, BUCUREŞTI 77
BLUEEYENIKO SRL^38204776^Maramureş^Sat Moisei, Comuna Moisei, MOISEI 323c
IULSOR CONSTRUCT SRL^21088367^Dâmboviţa^Sat Crovu, Comuna Odobeşti, COM. ODOBEŞTI 
BBB EUROTRANS & DISPATCH SRL^31152041^Constanţa^Sat Lumina, Comuna Lumina, Dacilor 15
THIESZ ÁRON PERSOANĂ FIZICĂ AUTORIZATĂ^30667643^Covasna^Loc. Covasna, Oraş Covasna, UNIRII 2
BUHĂ V. ALEXANDRA ÎNTREPRINDERE INDIVIDUALĂ^39013073^Iaşi^Municipiul Iaşi, COLUMNEI 27
NIDARGRANT SRL^37987114^Tulcea^Sat Luncaviţa, Comuna Luncaviţa, MEŞTEŞUGARULUI 2
MIVASCONT SRL^23803394^Gorj^Loc. Romaneşti, Municipiul Târgu Jiu, Romaneşti 85
WINDOOR SRL^15932029^Galaţi^Sat Tuluceşti, Comuna Tuluceşti, Cătinei 25
SWEETPRINT3D S.R.L.^39177777^Sibiu^Municipiul Sibiu, TABEREI 5
MIRA FRUIT VEGETABLE MARKET S.R.L.^39921310^Neamţ^Sat Cordun, Comuna Cordun, Vasile Alecsandri 23
CIUP MIHAELA-ELENA PERSOANĂ FIZICĂ AUTORIZATĂ^41563621^Timiş^Sat Sinersig, Comuna Boldur,  213
MESTECHPLUS S.R.L.^40193695^Cluj^Municipiul Cluj-Napoca, CONSTANTIN BRÂNCOVEANU 35
HAPPY FIZIOKINETO LIFE S.R.L.^37750869^Sibiu^Municipiul Sibiu, GIMNASTICII 11
MAXIM & CO LTD SRL^34327970^Giurgiu^Loc. Bolintin-Vale, Oraş Bolintin-Vale, DIMITRIE BOLINTINEANU 14
GABRIELA BUTIC CONSTRUCT SRL^38136256^Bucureşti^Bucureşti Sectorul 6, VAGONETULUI 2
CRISTIAN & ELENA IMPEX SRL^25401016^Iaşi^Loc. Podu Iloaiei, Oraş Podu Iloaiei, Str. Vlădiceni 14
MÂRZA NICOLAE-IOAN PERSOANĂ FIZICĂ AUTORIZATĂ^41787181^Cluj^Sat Floreşti, Comuna Floreşti, STEJARULUI 38
DUȘA ADRIAN MIHAI PERSOANĂ FIZICĂ AUTORIZATĂ^41942951^Alba^Municipiul Alba Iulia, 1 DECEMBRIE 1918 19
RAȚĂ ALEXANDRU-DORIN ÎNTREPRINDERE INDIVIDUALĂ^42191208^Galaţi^Sat Fântâni, Comuna Nicoreşti, FÎNTÎNI 130A
TOTAL GREEN FOREST S.R.L.^39964567^Dâmboviţa^Sat Costeştii din Deal, Comuna Produleşti, Calea Bucureşti 342
PETYALEX DYA S.R.L.^44840204^Cluj^Sat Unguras, Comuna Unguras, UNGURAŞ 111
PATISERIA COZMA S.R.L.^45980494^Iaşi^Sat Andrieşeni, Comuna Andrieşeni, PRINCIPALĂ 671
DOBROGEA NAUTIC S.R.L.^47571496^Tulcea^Municipiul Tulcea, PODGORIILOR 20
SECOȘAN CAROL ÎNTREPRINDERE INDIVIDUALĂ^49054593^Caraş-Severin^Sat Cărbunari, Comuna Cărbunari, CĂRBUNARI 7
STAN DANIEL ZOOTEHNIE PERSOANĂ FIZICĂ AUTORIZATĂ^48872039^Tulcea^Sat Mircea Vodă, Comuna Cerna, MIRON COSTIN 4
LIVINȚ CRISTINEL-COSTEL PERSOANĂ FIZICĂ AUTORIZATĂ^49907720^Iaşi^Municipiul Iaşi, PĂCURARI 93
CLAPA SERAFIM-MIHAIL PERSOANĂ FIZICĂ AUTORIZATĂ^50019069^Buzău^Sat Năeni, Comuna Năeni, Principală 256
STEFLEA INSTAL PREST S.R.L.^50504802^Alba^Sat Mărtinie, Comuna Şugag, VALEA MĂRTINIEI 64
GHERASE CARMEN-ALEXANDRA PERSOANĂ FIZICĂ AUTORIZATĂ^51912290^Bucureşti^Bucureşti Sectorul 1, BUCUREŞTII NOI 136
NEOSTEP TEHNOMED S.R.L.^53940237^Buzău^Municipiul Buzău, Obor 10
SURAJ CONSTRUCT SRL^16650727^Bucureşti^Bucureşti Sectorul 3, Aleea Buhusi 7
DORE SPEDITION SRL^36884080^Alba^Municipiul Blaj, ION INOCENŢIU MICU KLEIN 75
NAOMY SRL^15857555^Satu Mare^Municipiul Carei, Cart. REPUBLICII 
WELLNESS PARADIES SRL^34043928^Olt^Municipiul Caracal, MĂRĂŞTI 32
NAVISAD SRL^18691162^Arad^Sat Turnu, Oraş Pecica,  234
PRO-SAN-MED-MUN SRL^22545939^Arad^Municipiul Arad, Str. GRIGORE ALEXANDRESCU 24
AXA UNO SRL^31760782^Sibiu^Municipiul Sibiu, ABRUD 3
GETA & ILIE SRL^22059076^Suceava^Municipiul Câmpulung Moldovenesc, BUCOVINEI 241
TEODORESCU I. IULIAN PERSOANĂ FIZICĂ AUTORIZATĂ^19844477^Argeş^Municipiul Piteşti, Str. PETROCHIMISTILOR 
ARGEŞEANU CRISTIAN ÎNTREPRINDERE INDIVIDUALĂ^35272440^Teleorman^Sat Gălăteni, Comuna Gălăteni, GĂLĂTENI 
NEDROM RECOND SRL^30644771^Mureş^Sat Sântana de Mureş, Comuna Sântana de Mureş, VOINICENILOR 695
HAPPY LOLA SRL^34926660^Cluj^Sat Sănduleşti, Comuna Sănduleşti, SĂNDULEŞTI 33
CARNIVAL CREW SERV SRL^33670848^Bihor^Municipiul Oradea, 12 OCTOMBRIE 4
ENE ION PERSOANĂ FIZICĂ AUTORIZATĂ^19937630^Timiş^Municipiul Timişoara, Calea TORONTALULUI 14
GRECU VALENTIN-IONEL ÎNTREPRINDERE INDIVIDUALĂ^26961615^Constanţa^Sat Valu lui Traian, Comuna Valu lui Traian, Str. PESCĂRUŞILOR 38
ZOS RENOV SRL^18634060^Dolj^Municipiul Craiova, Str. ULMULUI 43A
IZVORUL CERBULUI SRL^16849380^Tulcea^Sat Ciucurova, Comuna Ciucurova, PRINCIPALĂ 252
IDEI ELECTRICE COMPLETE SRL^32720557^Bucureşti^Bucureşti Sectorul 6, VISTIERNICUL STAVRINOS 17
BEBETO CONSTRUCT INSTAL S.R.L.^38484145^Cluj^Sat Gilău, Comuna Gilău, MORII 1044F
ALBO STORE SRL^34760167^Bucureşti^Bucureşti Sectorul 3, RARĂU 1
ANDROMEDA COMMUNICATION CONSULTING GROUP S.R.L.^49153171^Ilfov^Sat Ştefăneştii de Jos, Comuna Ştefăneştii de Jos, EUROPA 6bis
CHIVCRIS DINAMIC S.R.L.^10722190^Buzău^Municipiul Buzău, Unirii 
LALU GHEORGHE ÎNTREPRINDERE INDIVIDUALĂ^36876800^Buzău^Municipiul Buzău, STADIONULUI 
BROS BETCOM S.R.L.^41026539^Prahova^Loc. Băicoi, Oraş Băicoi, REPUBLICII 36
CLUB DARIA SRL^19075942^Teleorman^Loc. Zimnicea, Oraş Zimnicea, Str. CĂLUGĂRENI 203
