DENUMIRE^CUI^ADR_JUDET^ADRESA
JUST NATURE S.R.L.^41378713^Ialomiţa^Sat Făcăeni, Comuna Făcăeni, TRANDAFIRI 15
COREDAS ENGINEERING S.R.L.^41894595^Timiş^Municipiul Timişoara, ALBA IULIA 3
CTRLARTDEL STUDIO S.R.L.^47337178^Braşov^Municipiul Braşov, CARPAŢILOR 17
BELOW ZERO S.R.L.^44665260^Constanţa^Sat Lumina, Comuna Lumina, Mihai Viteazu 66
ARDELEAN VIOREL CRĂCIUN PERSOANĂ FIZICĂ AUTORIZATĂ^44649671^Bihor^Sat Urviş de Beiuş, Comuna Şoimi, URVIŞ DE BEIUŞ 109
PROFINEX-AUDIT S.R.L.^45409820^Bucureşti^Bucureşti Sectorul 1, PRODUCŢIEI 6A
GALEON PRIM S.R.L.^45708032^Arad^Municipiul Arad, POETULUI 89
BIRLIC & IRA S.R.L.^45875863^Constanţa^Sat Limanu, Comuna Limanu, EROILOR 40
IT LLAMA GROUP S.R.L.^47313292^Constanţa^Loc. Valea Dacilor, Municipiul Medgidia, REVOLUŢIEI 16
ENZ GLOBAL SOLUTION S.R.L.^47598904^Bihor^Municipiul Oradea, CEYRAT 33B
CLEVERLY DIGITAL MEDIA S.R.L.^48715620^Bucureşti^Bucureşti Sectorul 6, ELENA FARAGO 5
FAZAKAS NORBERT PERSOANĂ FIZICĂ AUTORIZATĂ^49160250^Harghita^Loc. Borsec, Oraş Borsec, GHEORGHE DOJA 
FACILITY MANAGEMENT S.R.L.^49068327^Bucureşti^Bucureşti Sectorul 6, INDEPENDENŢEI 313B
ELLA TRANSPORT GO S.R.L.^49234772^Cluj^Municipiul Cluj-Napoca, BÂLEA 4
GLOBAL LLN SPEED S.R.L.^50243138^Dâmboviţa^Sat Gura Foii, Comuna Gura Foii,  406C
COTINGHIU DELIA-IOANA P.F.A.^51260650^Braşov^Sat Moieciu de Jos, Comuna Moieciu, MOIECIU DE JOS 563
BRESCANU ALEXANDRU-CIPRIAN PERSOANĂ FIZICĂ AUTORIZATĂ^52363572^Iaşi^Municipiul Iaşi, ROZELOR 32
LEGAL TAX ADVISORS S.R.L.^53744974^Bucureşti^Bucureşti Sectorul 2, TELEAJEN 10
CRĂCIUN ADRIAN-LUCIAN PERSOANĂ FIZICĂ AUTORIZATĂ^53998328^Prahova^Municipiul Câmpina, Sondei 2 BIS
OZPALA SERV SRL^24273792^Bucureşti^Bucureşti Sectorul 2, Sos. Colentina 257
JONACRIST SERVCONSULT SRL^27295060^Bucureşti^Bucureşti Sectorul 5, BARAJULUI 41B
BIOMEDISAN SRL^22023030^Alba^Municipiul Alba Iulia, Str. GHEORGHE DOJA 31A
VIOCOD UTILAJE SRL^29663532^Sălaj^Sat Drighiu, Comuna Halmăşd,  118
CLINICA KORALL INVESTMENT SRL^30683355^Satu Mare^Sat Batarci, Comuna Batarci, PRINCIPALĂ 39
BRAF CONSULT SRL^16676620^Cluj^Municipiul Cluj-Napoca, Aleea NEGOIU 9
AGRICOSERV SRL^6543499^Ialomiţa^Loc. Ţăndărei, Oraş Ţăndărei, Str. BUCURESTI -
RESINA SRL^17710223^Bihor^Municipiul Oradea, Aleea ZIDARILOR 6
POP STAR SRL^21234683^Bihor^Sat Sântandrei, Comuna Sântandrei, Liniştii 9
MUFI SRL^15346291^Ilfov^Sat Săftica, Comuna Baloteşti, Calea BUCURESTI 38
ŢUMPI COM SRL^17131361^Prahova^Municipiul Ploieşti, B-dul BUCUREŞTI 11
GAMAT ART DESIGN SRL^32320275^Prahova^Municipiul Ploieşti, POŞTEI 71
SCRAP PROSPER RIK SRL^30553290^Ilfov^Oraş Popeşti Leordeni, PÂRÂUL RECE 4F
ZEMON SRL^5759940^Vaslui^Municipiul Bârlad, Str. COMUNA DIN PARIS 2
MAREMVIC AGRO SRL^32920237^Constanţa^Sat Vlahii, Comuna Aliman, BISERICII 3
DR. MOISE SRL^35357651^Constanţa^Sat Mihail Kogălniceanu, Comuna Mihail Kogălniceanu, TUDOR VLADIMIRESCU 40
VEZETEU M. IOAN - DRAGOŞ ÎNTREPRINDERE INDIVIDUALĂ^36634858^Botoşani^Sat Nichiteni, Comuna Cotuşca, NICHITENI 
PANEA-BIOSAN MĂDĂLINA ÎNTREPRINDERE FAMILIALĂ^35979115^Dolj^Loc. Filiasi, Oraş Filiasi, UNIRII 11
IDEAL IMOBCONSTRUCT SRL^37793860^Iaşi^Municipiul Iaşi, DECEBAL 7
TRASCOVSCHI M. MARIAN ÎNTREPRINDERE INDIVIDUALĂ^38783910^Iaşi^Municipiul Iaşi, POMPIERI 1
ŢONCU IRIS MAR S.R.L.^40203772^Tulcea^Municipiul Tulcea, MAHMUDIEI 13
NINOK BOOK SRL^37627352^Bucureşti^Bucureşti Sectorul 6, Ceahlău 25
SOFI DINAMIC FAST S.R.L.^39644937^Dâmboviţa^Municipiul Târgovişte, UNIRII 3
ARHIVARE MATICA S.R.L.^40315890^Bihor^Municipiul Oradea, PROF. ONISIFOR GHIBU 7
ODISEEA CONSTRUCT & DEVELOPMENT SRL^37488408^Bucureşti^Bucureşti Sectorul 4, Naţiunile Unite 3-5
TRANS ALIANS GRUP SRL^27091140^Iaşi^Municipiul Iaşi, Şos. ARCU 25
