DENUMIRE^CUI^ADR_JUDET^ADRESA
SOLAR FREEDOM SRL^24528160^Sibiu^Municipiul Sibiu, Str. CĂRĂMIDĂRIEI 69
SOPRONUL.RO SRL^36381208^Bacău^Sat Buhoci, Comuna Buhoci, PRINCIPALĂ 32
IORAS GHEORGHE PERSOANĂ FIZICĂ AUTORIZATĂ^19353240^Cluj^Municipiul Cluj-Napoca, Calea DOROBANTILOR 9-11
FLOREA V TEOFIL COSMIN PERSOANĂ FIZICĂ AUTORIZATĂ^37403320^Mureş^Loc. Luduş, Oraş Luduş, POLICLINICII 24
GLOBAL MOND ASISTENT IN BROKERAJ SRL^27492274^Braşov^Loc. Victoria, Oraş Victoria, Str. VICTORIEI 
NEW PROFI S.R.L.^33770804^Cluj^Municipiul Cluj-Napoca, Salcâmului 37
AUGUSTA TRADING SRL^16480487^Bihor^Sat Ineu, Comuna Ineu, INEU 429
LIMITDENT S.R.L.^35341191^Bihor^Municipiul Oradea, BIRUINŢEI 52
APOLLO HARDWARE CONSULTING SRL^17811120^Timiş^Municipiul Timişoara, Str. CONSTANTIN SILVESTRI 1
DODICOOL TREDING SRL^30564516^Prahova^Municipiul Ploieşti, GHEORGHE GRIGORE CANTACUZINO 187
MARIA MONTESSORI HOME SRL^36240330^Ilfov^Oraş Voluntari, VÎRTEJULUI 7A
LET'S PLAY KIDS SRL^37639829^Timiş^Municipiul Lugoj, COTUL MIC 
SENATOR SRL^1866197^Constanţa^Municipiul Constanţa, Str. ROTTERDAM 1
BETY SOMAR GROUP SRL^25234821^Constanţa^Sat 2 Mai, Comuna Limanu,  
DOMONCO DIANA-CLAUDIA ÎNTREPRINDERE INDIVIDUALĂ^31983202^Botoşani^Loc. Darabani, Oraş Darabani, LUCIAN VALEA 3A
SERVICII DE ASISTARE SI ASIGURARI SOCIALE COMPLEMENTARE SRL^31905948^Bucureşti^Bucureşti Sectorul 2, ARHITECT IONESCU GRIGORE 63
CAPITALY COMSERV SRL^4403480^Covasna^Municipiul Sfântu Gheorghe, Str. MIKES KELEMEN 39
DRAILCON SRL^17175279^Galaţi^Municipiul Galaţi, Str. G-RAL ALEXANDRU CERNAT 2
COMĂNAŞ IONEL PERSOANĂ FIZICĂ AUTORIZATĂ^28446500^Galaţi^Municipiul Galaţi, B-dul DUNĂREA 13
GEODEN DRAGMAR TRANS S.R.L.^38429248^Buzău^Municipiul Râmnicu Sărat, LALELELOR 
ESSENTIAL OFFICE CLEAN SERV S.R.L.^38769665^Bucureşti^Bucureşti Sectorul 2, OLARI 32
VU'S BEVERAGE S.R.L.^39122852^Bucureşti^Bucureşti Sectorul 4, UNIRII 6
ALIMAN NICOLAE-FLORIN PERSOANĂ FIZICĂ AUTORIZATĂ^31788074^Buzău^Sat Valea Părului, Comuna Beceni,  
ART INSTAL PREST SRL^36681930^Bucureşti^Bucureşti Sectorul 1, LT. COL. RĂDUCU DUMITRU DURBAC 112
KAMY ELENAILS S.R.L.^39999190^Prahova^Municipiul Ploieşti, Soldat Erou Arhip Nicolae 2
IMPRIM EXPERT SRL^14186885^Iaşi^Municipiul Paşcani, Str. FUNDAC CASA DE APA 8
2NUTS POIENI S.R.L.^16177395^Iaşi^Municipiul Iaşi, UNIRII 2
UNDELUCRAM S.R.L.^37266398^Cluj^Municipiul Cluj-Napoca, REGELE FERDINAND 22-26
WIN MEDICAL S.R.L.^44325730^Ilfov^Sat Dobroeşti, Comuna Dobroeşti, Prof.Dr.Univ. V Dumitrescu 112A
ADVANCED VFX S.R.L.^41907997^Cluj^Municipiul Cluj-Napoca, DOROBANŢILOR 70
AVRAM I.NELU PERSOANĂ FIZICĂ AUTORIZATĂ^49512682^Braşov^Sat Recea, Comuna Recea, RECEA 277
TURCULEŢ ANDREEA DENISA PERSOANĂ FIZICĂ AUTORIZATĂ^43972738^Hunedoara^Municipiul Petroşani, 1 DECEMBRIE 1918 
ESTEKA SUPPLY S.R.L.^44204789^Timiş^Sat Ghiroda, Comuna Ghiroda, JIUL 15
MAR STEF LAR LUX S.R.L.^44517867^Dâmboviţa^Sat Dimoiu, Comuna Ulmi, Principală 19
REGAL RAREŞ S.R.L.^44718887^Cluj^Municipiul Turda, AXENTE SEVER 31
DIGITALE SCRIPTO S.R.L.^44799733^Bucureşti^Bucureşti Sectorul 6, IULIU MANIU 57
VATRA SHOP S.R.L.^45697430^Ialomiţa^Sat Cocora, Comuna Cocora, PRINCIPALĂ 79
KREATANK DESIGN S.R.L.^39606747^Timiş^Sat Dumbrăviţa, Comuna Dumbrăviţa, JIU 51
CLAUDMAR DATA SERVICES S.R.L.^46953005^Bucureşti^Bucureşti Sectorul 4, GIOVANNI BOCCACCIO 83
BRĂDEANA ART SCHOOL S.R.L.^50307533^Alba^Sat Sohodol, Comuna Sohodol,  7A
LA NAȘU S.R.L.^48164377^Constanţa^Sat Valu lui Traian, Comuna Valu lui Traian, MIRCEA CEL BĂTRÂN 22
1KY PEPINIERA S.R.L.^48159346^Timiş^Municipiul Timişoara, MOISE DOBOŞAN 5
VASILE MIRUNA PERSOANĂ FIZICĂ AUTORIZATĂ^48303270^Maramureş^Sat Ardusat, Comuna Ardusat, ARDUSAT 108B
PASCLIMA ENERGY S.R.L.^39774155^Ilfov^Oraş Bragadiru, IERNII 13B
HAI PHONG S.R.L.^50188106^Constanţa^Municipiul Constanţa, GRANATULUI 2
ALINA CERAMICS ART STUDIO S.R.L.^51316912^Prahova^Municipiul Ploieşti, CAVALULUI 27
ECOMELEVATE S.R.L.^51811236^Bucureşti^Bucureşti Sectorul 2, COLENTINA 16
PVC SMART INVEST S.R.L.^51886840^Constanţa^Municipiul Medgidia, VIITORULUI 11
TIME FOR BUSINESS S.R.L.^52423950^Bucureşti^Bucureşti Sectorul 4, METALURGIEI 61B
BIBIRI ILINCA PERSOANĂ FIZICĂ AUTORIZATĂ^52531889^Bucureşti^Bucureşti Sectorul 1, BUCUREŞTII NOI 136
GOLD GYM EXIM SRL^4932031^Bucureşti^Bucureşti Sectorul 2, Str. ORZARI 67
WATERS MEAD HOSPITALITY & LEISURE SRL^25088319^Bucureşti^Bucureşti Sectorul 2, Şos. COLENTINA 16
IANECSKO ALINA-GABRIELA ÎNTREPRINDERE INDIVIDUALĂ^41939948^Arad^Loc. Nădlac, Oraş Nădlac, DR. MARTIN LUTHER 114
INJOY YOUR BODY SRL^37778096^Olt^Municipiul Slatina, PRELUNGIREA TUNARI 26
ROMEGHIA N. BRÎNDUŞA-VERONICA - PERSOANĂ FIZICĂ AUTORIZATĂ^21584921^Suceava^Sat Vâlcelele, Comuna Stroieşti,  25
KLASSEM SRL^15329266^Neamţ^Municipiul Piatra Neamţ, Str. G-RAL NICOLAE DĂSCĂLESCU 11
RAFAEL TOTAL DECOR SRL^38321334^Argeş^Sat Sălătrucu, Comuna Sălătrucu, VARU 6
ALPIN CONSTRUCT SRL^17813601^Mureş^Municipiul Târgu Mureş, Str. REMETEA 259
IFTIME PARASCHIVA PERSOANĂ FIZICĂ AUTORIZATĂ^31464051^Mureş^Municipiul Târgu Mureş, LIVIU REBREANU 10
PRESTIGE MARKETING SRL^25034270^Cluj^Municipiul Cluj-Napoca, Str. DAVID FRANCISC 13
TEVO MANUFACTURING SRL^35278604^Cluj^Municipiul Cluj-Napoca, TRAIAN VUIA 5
CECILIA FRUITS SRL^36775873^Bistriţa-Năsăud^Sat Cireşoaia, Comuna Braniştea,  131
CIMTEO SRL^10309780^Bihor^Municipiul Oradea, Str. MESTESUGARILOR 96
MIKI & NIKI SRL^18856830^Bihor^Municipiul Oradea, Str. PRUTULUI 6
ATLANTIC AUTO OFFICE S.R.L.^39175091^Constanţa^Municipiul Constanţa, LUPTĂTORI 1
HELOOO TS PHARMA CORPORATION SRL^38511371^Arad^Municipiul Arad, HORTENZIA 16
