DENUMIRE^CUI^ADR_JUDET^ADRESA
MIRUX CONSULT CONTAB SRL^17802718^Bucureşti^Bucureşti Sectorul 2, RITMULUI 4
CMC CONSULTING & INTERMEDIATION SRL^20942355^Bucureşti^Bucureşti Sectorul 1, Str. PETRE AURELIAN 66
ALYLEN INSTAL COM SRL^22418854^Bucureşti^Bucureşti Sectorul 2, Str. Crişul Negru 11
D.V. CONSTRUCTII SI FUNDATII SPECIALE SRL^26067454^Bucureşti^Bucureşti Sectorul 4, Str. UIOARA 1
ROŞA VIORICA PERSOANĂ FIZICĂ AUTORIZATĂ^32742377^Alba^Oraş Baia de Arieş, Brăzeşti 43
ERDEY ROLAND PERSOANĂ FIZICĂ AUTORIZATĂ^34848138^Sălaj^Municipiul Zalău, AVRAM IANCU 47
PALISANDER ROM COM SRL^8700670^Braşov^Municipiul Braşov, ZIZINULUI 106A
STECA TRADING S.R.L.^37484139^Suceava^Municipiul Vatra Dornei, RUNC 9
LARIXPLANTSIL SRL^35824790^Neamţ^Sat Dămuc, Comuna Dămuc, DĂMUC DE SUS 451A
PAP SANDOR GYORGY PERSOANĂ FIZICĂ AUTORIZATĂ^19886693^Bihor^Loc. Valea lui Mihai, Oraş Valea lui Mihai, Str. MARTON ARON 16
SURVEY & TOPO CONSTRUCT SRL^23611119^Ilfov^Oraş Pantelimon, Str. MIORITEI 20
SÂRMĂ E. COSMIN PERSOANĂ FIZICĂ AUTORIZATĂ^20488470^Prahova^Municipiul Ploieşti, Str. CONSTANTIN BREZEANU 9
BAU-MANAGEMENT-SERVICE  SRL^35456728^Ilfov^Oraş Voluntari, EMIL RACOVIŢĂ 70
AGON SOFT SRL^35748145^Ilfov^Sat Dobroeşti, Comuna Dobroeşti, SOLDAT GHIURCA CONSTANTIN 8
CABINETUL DE SERVICII URBANE SRL^33180439^Braşov^Municipiul Braşov, MIRCEA CEL BĂTRÂN 49
VALOSOR M-P S.R.L.^37806455^Dâmboviţa^Loc. Titu, Oraş Titu, GĂRII 84
AGRO MACOVA SRL^15269199^Brăila^Sat Bărăganul, Comuna Bărăganul,  
MARADVERT AGRO SRL^31199842^Brăila^Municipiul Brăila, CINEMATOGRAFULUI 3
HORIZON CAPITAL INVEST S.R.L.^39671168^Bucureşti^Bucureşti Sectorul 1, CLUCERULUI 74
BOLDEANU CONSTRUCŢII S.R.L.^38883553^Vrancea^Sat Suraia, Comuna Suraia, ROGHINA 3
SAG TREND S.R.L.^39872617^Neamţ^Sat Ruginoasa, Comuna Ruginoasa, Principală 641
VÂRGA ALOIS ÎNTREPRINDERE INDIVIDUALĂ^40582498^Neamţ^Sat Traian, Comuna Săbăoani, ALEEA SOARELUI 2
COCOŞ GABSILV S.R.L.^40002442^Caraş-Severin^Loc. Oraviţa, Oraş Oraviţa, BRAZILOR 78
MIHTIN HONEYPROD S.R.L.^40111458^Galaţi^Sat Gohor, Comuna Gohor, GOHOR 281
AJ PREMIUM CONS AND SERVICES S.R.L.^40297009^Bucureşti^Bucureşti Sectorul 3, MIHAI BRAVU 380-382
BECERU NELA PERSOANĂ FIZICĂ AUTORIZATĂ^29429346^Iaşi^Municipiul Iaşi, Str. VASILE LUPU 88
BELEI FLORINA PERSOANĂ FIZICĂ AUTORIZATĂ^36613421^Vâlcea^Municipiul Râmnicu Vâlcea, REMUS BELLU 7
ANGEL TOY LAND S.R.L.-D.^37857955^Vâlcea^Sat Vlădeşti, Comuna Vlădeşti, VLĂDEŞTI 69
ADORA COSTA S.R.L.^41381042^Suceava^Municipiul Câmpulung Moldovenesc, MĂLINULUI 4
CRAN MACARALE S.R.L.^41989830^Hunedoara^Municipiul Hunedoara, LIBERTĂŢII 7A
PROJECT VIRTUS CONSULTING S.R.L.^45432564^Bihor^Municipiul Oradea, CARAŞULUI 15
SUPERMARIO TAXI S.R.L.^42851142^Timiş^Municipiul Timişoara, AMFOREI 11
MARIO CAR REPAIRS & SERVICING S.R.L.^42749364^Bucureşti^Bucureşti Sectorul 5, SOLD. ION COMAN 11 B
SAPHIR TOP KEY S.R.L.^43686132^Bucureşti^Bucureşti Sectorul 3, MOŞ ION ROATĂ 38
IVĂNESCU C. VALENTIN ÎNTREPRINDERE FAMILIALĂ^44160267^Dâmboviţa^Sat Văleni-Dâmboviţa, Comuna Văleni-Dâmboviţa,  986
PRIME ESTATE ALLIANCE S.R.L.^44461693^Bucureşti^Bucureşti Sectorul 3, REMUS 1-3
CLAUDIU ALEXANDRA MOBILE S.R.L.^47576400^Timiş^Sat Săcălaz, Comuna Săcălaz,  211
ATELIERUL DE MOBILĂ KOK DESIGN S.R.L.^45144723^Buzău^Sat Mărăcineni, Comuna Mărăcineni, POŞTEI 18
TIVADAR GHEORGHE VASILE PERSOANĂ FIZICĂ AUTORIZATĂ^45223827^Maramureş^Municipiul Sighetu Marmaţiei, GEORGE COŞBUC 22
CHIRIAC T IONEL PERSOANĂ FIZICĂ AUTORIZATĂ^46443235^Buzău^Municipiul Buzău, ELOCINŢEI 24
CLINICAL NUTRITION BY NELA MOŢOC S.R.L.^46682151^Suceava^Municipiul Suceava, GHEORGHE DOJA 140 B
CLEANING & SHINING HOME S.R.L.^47491290^Constanţa^Sat Chirnogeni, Comuna Chirnogeni, BISERICII 18
ANDREI ELENA-CĂTĂLINA ÎNTREPRINDERE INDIVIDUALĂ^49289506^Galaţi^Sat Matca, Comuna Matca, MILCOV 14
DOXFISCAL S.R.L.^49350998^Arad^Sat Livada, Comuna Livada, LIVADA 481
MYMED CENTER S.R.L.^49970868^Covasna^Municipiul Sfântu Gheorghe, NICOLAE IORGA 61
SOFTRISE S.R.L.^50594830^Bucureşti^Bucureşti Sectorul 3, THEODOR PALLADY 66A
PĂTLĂGEANU MARINA-ANCA PERSOANĂ FIZICĂ AUTORIZATĂ^50915999^Bucureşti^Bucureşti Sectorul 1, BUCUREŞTII NOI 136
ALTAI INNOVATIONS S.R.L.^51956997^Dâmboviţa^Sat Crevedia, Comuna Crevedia, Dealul Mare 701-49
ARITON ALINA-GABRIELA PERSOANĂ FIZICĂ AUTORIZATĂ^52283198^Bucureşti^Bucureşti Sectorul 1, BUCUREŞTII NOI 136
STEELPRECISION S.R.L.^52210153^Sibiu^Loc. Galeş, Oraş Sălişte, PRINCIPALĂ 44
MIRON BIANCA-LĂCRĂMIOARA PERSOANĂ FIZICĂ AUTORIZATĂ^52492062^Constanţa^Sat Agigea, Comuna Agigea, AUREL VLAICU 68
ACCOUNTING BRUTIU 2025 S.R.L.^53046343^Arad^Loc. Pâncota, Oraş Pâncota,  
BÎRLEA-CARPATOREA LAURA-MARIA PERSOANĂ FIZICĂ AUTORIZATĂ^52990768^Sibiu^Municipiul Sibiu, TRAIAN DEMETRESCU 161
EGO BEAUTY STYLE S.R.L.^53735003^Olt^Loc. Balş, Oraş Balş, NICOLAE BĂLCESCU 50
BODEA VIOREL PERSOANĂ FIZICĂ AUTORIZATĂ^53881408^Galaţi^Sat Bălăşeşti, Comuna Bălăşeşti,  483
LINKNET INTERNATIONAL SRL^16903447^Bucureşti^Bucureşti Sectorul 5, Str. Buturugilor 42
GENIUS ALEXDI SRL^23037491^Bucureşti^Bucureşti Sectorul 2, Str. Maşina de Pîine 69
WINTER MANN SRL^15588279^Satu Mare^Sat Sanislău, Comuna Sanislău, Str. GĂRII 1294/B
STÂNEA GHEORGHE INTREPRINDERE INDIVIDUALĂ^23913052^Sibiu^Municipiul Sibiu, Str. REŞIŢA 12
ROMAN D.ELENA - COMERŢ - ÎNTREPRINDERE FAMILIALĂ^23331747^Suceava^Sat Dolheştii-Mari, Comuna Dolheşti,  315
TRANS JPG S.R.L.^37484180^Suceava^Municipiul Suceava, JEAN BART 7 A
SPEED PRO SRL^16116002^Braşov^Municipiul Braşov, Str. MĂCEŞIULUI 15
ŞULAR I IOAN FLORIN PERSOANĂ FIZICĂ AUTORIZATĂ^29758039^Mureş^Municipiul Reghin, RODNEI 6
VERTICAL SERV SRL^18578431^Cluj^Municipiul Cluj-Napoca, Str. AUREL SUCIU 15
LEO HEALTH SRL^32809574^Cluj^Municipiul Cluj-Napoca, CRINULUI 3
MARTYNA INVESTMENTS SRL^18538445^Maramureş^Municipiul Baia Mare, Str. GEORGE COŞBUC 1
MICHELA NAPLES SRL^21619698^Ilfov^Sat Fundeni, Comuna Dobroeşti, FUNDENI 39
