DENUMIRE^CUI^ADR_JUDET^ADRESA
CENTRUL DE STUDIU ŞI DIVERTISMENT START SRL^29576630^Constanţa^Municipiul Constanţa, Str. ELENA CUZA 20
BOGDAN G. ILEANA PERSOANĂ FIZICĂ AUTORIZATĂ^40256874^Bihor^Municipiul Oradea, GEN. GHEORGHE MAGHERU 15
LITTLE STARS CLUB SRL^37587797^Bucureşti^Bucureşti Sectorul 3, VASILE CÂRLOVA 4
NENEU CONSRAPID S.R.L.^40022040^Galaţi^Sat Slobozia Blăneasa, Comuna Negrileşti, SLOBOZIA BLĂNEASA 4
REDGRAPH SRL^18417818^Iaşi^Municipiul Iaşi, Ştefan cel Mare şi Sfânt 4
REDOX RERA S.R.L.^41738065^Alba^Loc. Ocna Mureş, Oraş Ocna Mureş, CLOŞCA 83
TROYKAIM S.R.L.^41816376^Suceava^Municipiul Suceava, MIHAI VITEAZUL 56
I - MEDSOFTDEVELOPMENT S.R.L.^43477829^Bucureşti^Bucureşti Sectorul 2, GHEORGHE ŢIŢEICA 
PERFORMANCE EXPERT SOLUTION S.R.L.^43655012^Bucureşti^Bucureşti Sectorul 5, MĂRGEANULUI 97
EMGI CONSULT INVEST S.R.L.^43839694^Bucureşti^Bucureşti Sectorul 3, Decebal 12
GOSPODARUL HOLOD S.R.L.^43731101^Bihor^Sat Holod, Comuna Holod, HOLOD 228
VRAB TRANS LOGISTIC S.R.L.^46137198^Suceava^Municipiul Suceava, UNIVERSITĂŢII 28 A
BURLACU ȘTEFAN FLORENTIN PERSOANĂ FIZICĂ AUTORIZATĂ^46478870^Braşov^Sat Sânpetru, Comuna Sânpetru, DRUMUL CU PLOPI 116
NENEATA ORGANIZATION S.R.L.^50175777^Mehedinţi^Municipiul Drobeta-Turnu Severin, CĂLĂRAŞI 9
MSOFT XTC S.R.L.^46952921^Bucureşti^Bucureşti Sectorul 6, VIRTUŢII 4
NTT ENERGY S.R.L.^48383385^Constanţa^Municipiul Constanţa, ARCULUI 4
MIA SOFTWARE CONSULTING S.R.L.^48664429^Bucureşti^Bucureşti Sectorul 6, POIANA VADULUI 1
ENGHINARO FASHION S.R.L.^48837678^Constanţa^Municipiul Medgidia, JIULUI 40
ESZTININA S.R.L.^48946080^Braşov^Oraş Ghimbav, MORII 608
DURCAN ȘTEFANIA ÎNTREPRINDERE INDIVIDUALĂ^48944348^Vaslui^Municipiul Vaslui, ŞTEFAN CEL MARE 
GHEORGHE ADRIANA-GABRIELA PERSOANĂ FIZICĂ AUTORIZATĂ^50610498^Bucureşti^Bucureşti Sectorul 5, ION URDĂREANU 1
BANU MĂDĂLIN PERSOANĂ FIZICĂ AUTORIZATĂ^51727357^Bucureşti^Bucureşti Sectorul 3, RÂMNICU SĂRAT 33
RADEEPCLEAN S.R.L.^52047790^Bucureşti^Bucureşti Sectorul 4, Dumitru Brumărescu 12
DINU V.FLORIN PERSOANĂ FIZICĂ AUTORIZATĂ^22582945^Bucureşti^Bucureşti Sectorul 3, Str. Moş Ion Roată 10
