DENUMIRE^CUI^ADR_JUDET^ADRESA
ALEXDEEA GROUP SOLUTION SRL-D^35443930^Bacău^Municipiul Bacău, BICAZ 164
AMBARUS 77 AAE SRL^36451451^Bacău^Sat Floreşti, Comuna Scorţeni, FLOREŞTI 224
ALTIPA SERV SRL-D^36983513^Bacău^Municipiul Bacău, NUCULUI 1
DERMABELLE CLINIC SRL^37226610^Bacău^Municipiul Bacău, CUZA VODĂ 37
ANDONI ANC SERVICE SRL^37234060^Bacău^Municipiul Moineşti, 1 MAI 34A
LARISA SRL^576438^Bistriţa-Năsăud^Loc. Năsăud, Oraş Năsăud, Str. TRANDAFIRULUI 7
SILDAR-BERTELLI SRL^14230360^Bistriţa-Năsăud^Sat Crainimat, Comuna Sieu-Magherus,  308
CELINA PROD COM SRL^2889725^Cluj^Municipiul Cluj-Napoca, REGINA MARIA 3
EDDO IMPEX SRL^5612370^Cluj^Municipiul Cluj-Napoca, Str.  EMIL RACOVITA 49
RO STAR OIL SRL^4844576^Cluj^Municipiul Cluj-Napoca, OBSERVATORULUI 9
TTHH MEDIA SRL^10938411^Cluj^Municipiul Cluj-Napoca, Str. BUCEGI 13
MOŞTEANU IONUŢ-GEORGE ÎNTREPRINDERE INDIVIDUALĂ^36008870^Teleorman^Sat Cosmeşti, Comuna Cosmeşti, COSMEŞTI 
FULGER ION ÎNTREPRINDERE INDIVIDUALĂ^36173576^Teleorman^Sat Gresia, Comuna Stejaru, GRESIA 
A.F.D. CAFE BAR SRL^35101105^Teleorman^Sat Piatra, Comuna Piatra, PIATRA 
MARVEN CREATIVIMOB SRL^37877251^Ilfov^Loc. Bragadiru, Oraş Bragadiru, Mărgelelor  27
GENERAL BUILDING SRL^15433460^Cluj^Municipiul Cluj-Napoca, TRAIAN 50
POP IOSIF TRANS PERSOANĂ FIZICĂ AUTORIZATĂ^20357408^Cluj^Municipiul Cluj-Napoca, Str. MEHEDINTI 66-68
PRO TEHNIC SRL^15124236^Cluj^Municipiul Cluj-Napoca, Str.  AUREL VLAICU 38
TOP PROIECT SRL^15391152^Cluj^Municipiul Cluj-Napoca, Str.  COPERNICUS 7
CONSUMCOOP SINGEORGIU DE MURES SOCIETATE COOPERATIVA^1262077^Mureş^Sat Sîngeorgiu de Mureş, Comuna Sîngeorgiu de Mureş, MÁRTON ÁRON 2A
FARMACIA PRIMULA SRL^1221433^Mureş^Municipiul Târgu Mureş, Str. ÎNFRĂŢIRII 14
PROD IMPEX COMSIN SRL^4931710^Mureş^Municipiul Târgu Mureş, Str. CRANGULUI 2
IRIS DACIA COM SRL^4102291^Mureş^Municipiul Târgu Mureş, Str. MUREŞULUI 5
BIG BRICOLAGE S.R.L.^4166945^Mureş^Sat Sîngeorgiu de Mureş, Comuna Sîngeorgiu de Mureş, SALCÎMILOR 68
DELGAZ GRID S.A.^10976687^Mureş^Municipiul Târgu Mureş, PANDURILOR 42
MARY LUC COM SRL^10727449^Mureş^Municipiul Târgu Mureş, Str. STEFAN CICIO POP 22
VIONA SRL^14672320^Mureş^Municipiul Târgu Mureş, MÁRTON ÁRON 21
DAVA FOREST SRL^15635630^Mureş^Loc. Luduş, Oraş Luduş, Str. A.VLAICU 23
SUCIU VASILE PERSOANĂ FIZICĂ AUTORIZATĂ^19860723^Mureş^Municipiul Târgu Mureş, Str. DECEBAL 42
MIM MAX SRL^22224432^Mureş^Municipiul Târnăveni, Str. SOIMILOR 39
ROŞCA ION GABRIEL ÎNTREPRINDERE INDIVIDUALĂ^28707720^Mureş^Municipiul Târgu Mureş, NORDULUI 27
POARĂ GABRIEL IONEL ÎNTREPRINDERE INDIVIDUALĂ^28290370^Mureş^Sat Sânger, Comuna Sânger,  301
FEKETE ANDREA ERIKA PERSOANĂ FIZICĂ AUTORIZATĂ^27754596^Mureş^Loc. Luduş, Oraş Luduş, Str. ZĂVOIULUI 
SUGO ISTVAN PERSOANĂ FIZICĂ AUTORIZATĂ^30255979^Mureş^Municipiul Reghin, PANDURILOR 71
SAVA N CRISTIAN PERSOANĂ FIZICĂ AUTORIZATĂ^31139689^Mureş^Municipiul Târgu Mureş, TOAMNEI 31
GIGANTE FOOD SRL^31036993^Mureş^Municipiul Târgu Mureş, TURZII 7
TERASIG SRL^24005889^Braşov^Municipiul Braşov, OITUZ 5
CLONŢEA CAMELIA IULIANA ÎNTREPRINDERE INDIVIDUALĂ^28572029^Braşov^Municipiul Braşov, Str. HĂRMANULUI 120
VULTUR IOAN IVANESTI PERSOANĂ FIZICĂ AUTORIZATĂ^34913597^Mureş^Sat Ivăneşti, Comuna Livezeni, IVĂNEŞTI 78
FODORCRI SRL^16818708^Mureş^Sat Crăciuneşti, Comuna Crăciuneşti, CRĂCIUNEŞTI 689
BENEDEKFI ERZSEBET-ILDIKO PERSOANĂ FIZICĂ AUTORIZATĂ^34491948^Mureş^Municipiul Târgu Mureş, REŞIŢA 8A
CAMPING FAIN SRL^38142410^Mureş^Municipiul Târgu Mureş, NICOLAE BĂLCESCU 6
TÓFALVI MELINDA PERSOANĂ FIZICĂ AUTORIZATĂ^38270680^Mureş^Sat Sâncraiu de Mureş, Comuna Sâncraiu de Mureş, VALE 11D
BROSCH & CO MARKETING SRL^16075441^Cluj^Sat Floreşti, Comuna Floreşti, AVRAM IANCU 421G
SLC SRL^17814992^Cluj^Municipiul Cluj-Napoca, Str. FABRICII 7
DEEA VEST COM SRL^16258520^Cluj^Municipiul Dej, Str. AVRAM IANCU 33
SARZEA SEPTIMIU IOSIF PERSOANĂ FIZICĂ AUTORIZATĂ^21057425^Cluj^Municipiul Cluj-Napoca, Str. TULCEA 21
VMA AUTOMOTIVE SRL^16774768^Cluj^Municipiul Câmpia Turzii, P-ta 1 DECEMBRIE 1918 3-5
NUCET SRL^19054516^Cluj^Municipiul Cluj-Napoca, Calea DOROBANŢILOR 102
TOMOS FLAVIUS DORIN PERSOANĂ FIZICĂ AUTORIZATĂ^20424108^Cluj^Municipiul Cluj-Napoca, DR. LOUIS PASTEUR 44
NELLCOM SRL^21394030^Cluj^Municipiul Cluj-Napoca, Str. BEGA 8
WESTONE SRL^20743603^Cluj^Municipiul Cluj-Napoca, SEPTIMIU ALBINI 140-144
