DENUMIRE^CUI^ADR_JUDET^ADRESA
M.M.B. CRISTI SRL^10380578^Bihor^Municipiul Salonta, Str. JEAN CALVIN 36
PYNESA COMPANY SRL^34887102^Bucureşti^Bucureşti Sectorul 1, BĂICULEŞTI 7
MINODORA MUSIC SRL^36365288^Ilfov^Sat Glina, Comuna Glina, DEZROBIRII 11
FEUDAL CLEAN S.R.L.^40375590^Constanţa^Municipiul Constanţa, BREST 2
LAND OF WHEELS S.R.L.^43259298^Braşov^Sat Sânpetru, Comuna Sânpetru, LIVEZII 27
PERFORMANCE AUTO GLASS S.R.L.^49337743^Bucureşti^Bucureşti Sectorul 5, Sălaj 347
MANBRAS SRL^20920128^Braşov^Sat Hărman, Comuna Hărman, Str. Tudor Vladimirescu 595
KARLA PLAST CONSTRUCT SRL^32211189^Bucureşti^Bucureşti Sectorul 3, BUREBISTA 1
NARCIS-CONSTRUCT SRL^24488090^Sibiu^Municipiul Sibiu, Calea CISNĂDIEI 25
CANAL M PLUS SRL^6446577^Constanţa^Municipiul Constanţa, B-dul 1 DECEMBRIE 1918 2
VCT VEGETABLES & FRUITS S.R.L.^46519430^Călăraşi^Municipiul Călăraşi, SALCÂMILOR 12
AUTO BUCIUM SRL^35340897^Iaşi^Municipiul Iaşi, BUCIUM 31C
FICO GELATO & MORE SRL^37975241^Ilfov^Oraş Măgurele, Sulfinei 96
PRO ATESTAT S.R.L.^50322096^Neamţ^Municipiul Roman, ROMAN VODĂ 5
DANDU ROYAL SRL^27697709^Hunedoara^Municipiul Hunedoara, Str. TRANDAFIRILOR 27A
ROMVET DISTRIBUTION S.R.L.^47678566^Bucureşti^Bucureşti Sectorul 2, MOŞILOR 158
VEGETABLE LOGISTIC S.R.L.^32469820^Bucureşti^Bucureşti Sectorul 2, LUNGULEŢU 6
MEDIA SUD SRL^8983232^Teleorman^Municipiul Alexandria, Str. LIBERTATII 185
CRIS-IRON EXIM SRL^6767950^Bucureşti^Bucureşti Sectorul 6, Aleea CALLATIS 14
CITY SAVOR SRL^34103515^Arad^Municipiul Arad, PĂDURII 
CREMENEA III S.R.L.^12960610^Bacău^Municipiul Bacău, Str. MILCOV 134C
WOCOM TRADING SRL^26044809^Bacău^Municipiul Moineşti, Str. TUDOR VLADIMIRESCU 
AIRE DE JEUX SRL^35355600^Neamţ^Sat Talpa, Comuna Bîrgăuani, BUGA 35
ANISART A&C PRO 19 S.R.L.^41404618^Bucureşti^Bucureşti Sectorul 2, DINOGEŢIA 8-8A
KUHN & PARTNER ROMANIA SRL^14305242^Bihor^Municipiul Oradea, Calea ARADULUI 23
ITYAI AUTO PARTS S.R.L.^40993787^Bucureşti^Bucureşti Sectorul 5, GAROAFEI 120D
ORIZONTURI NOI SRL^17094034^Botoşani^Sat Vlăsineşti, Comuna Vlăsineşti,  
FLAX IT SUPPORT S.R.L.^37210818^Dâmboviţa^Municipiul Târgovişte, DOMNEASCA 349
GRAND TRANSFER SERVICE SRL^33555164^Bucureşti^Bucureşti Sectorul 1, ŞERBAN NICOLAE 10
AVIS CONCEPT S.R.L.^38444876^Suceava^Municipiul Suceava, STEJARULUI 10
CLIZADEV S.R.L.^35350602^Galaţi^Municipiul Galaţi, TECUCI 160
ROPEROS SRL^36380423^Bucureşti^Bucureşti Sectorul 1, BANUL ANTONACHE 40-44
ALIDAV COSMETICS S.R.L.^40072561^Bucureşti^Bucureşti Sectorul 2, MAŞINA DE PÂINE 22
DECO REPUBLIC S.R.L.^40341600^Ilfov^Sat Roşu, Comuna Chiajna, GLADIOLELOR 3
LISETOMODA S.R.L.^40943428^Bucureşti^Bucureşti Sectorul 1, NICOLAE IORGA 2
VETERINARY COMPANY SRL^26737287^Iaşi^Sat Coropceni, Comuna Ciorteşti,  
REAL BEST MAG S.R.L.^41331516^Ilfov^Sat Dobroeşti, Comuna Dobroeşti, STEJARULUI 14C
AUTOTECH MECANICA RAPIDA S.R.L.^42258634^Dâmboviţa^Sat Dragodana, Comuna Dragodana, Învăţător Nicolae Bălănescu 3
MARIN LEMNE S.R.L.^42416556^Giurgiu^Sat Greaca, Comuna Greaca, PUŢU GRECI 14
TRINAR DISTRICT S.R.L.^42826181^Bucureşti^Bucureşti Sectorul 2, ŞTEFAN CEL MARE 238
RHEINMETTAL S.R.L.^43308315^Bucureşti^Bucureşti Sectorul 1, VERONICA MICLE 20
TJE ARTINO S.R.L.^40456422^Cluj^Municipiul Cluj-Napoca, 1 DECEMBRIE 1918 130
RGL TRANS GHITA S.R.L.^43917610^Vrancea^Sat Nereju Mic, Comuna Nereju, NEREJU MIC 
VILA TRUBADUR S.R.L.^44329952^Bucureşti^Bucureşti Sectorul 2, WOLFGANG AMADEUS MOZART 14A
HOUSE OF LORD MANAGEMENT S.R.L.^44993097^Braşov^Municipiul Braşov, BUCUREŞTI 104
LAZA DARIO BULDO CONSTRUCT S.R.L.^46036690^Bihor^Sat Saca, Comuna Budureasa, SACA 16
BRUTARIA TRADITIONALA ROMANEASCA S.R.L.^46082653^Argeş^Sat Drăghici, Comuna Mihăeşti,  50A
CASA DE AMANET B.B AUTOMOBILE S.R.L.^47431646^Mureş^Sat Sâncraiu de Mureş, Comuna Sâncraiu de Mureş, MUREŞULUI 12
ACTIV GLOBAL CLEAN S.R.L.^48016729^Călăraşi^Sat Frumuşani, Comuna Frumuşani, Bucureşti 431
MONSTEF EXPERT S.R.L.^47995114^Suceava^Sat Strâmtura, Comuna Vama, CRINULUI 6A
ROAIR S.R.L.^47738196^Bucureşti^Bucureşti Sectorul 2, ARMENEASCĂ 23
ALICOM RETAIL S.R.L.^49020469^Ilfov^Comuna 1 Decembrie, ION ANTONESCU 5
AVOSTO AUTO S.R.L.^48895636^Timiş^Loc. Sânnicolau Mare, Oraş Sânnicolau Mare, MITROPOLIT ANDREI ŞAGUNA 21A
MRO PARTNERS S.R.L.^49257130^Ilfov^Oraş Otopeni, GRIVIŢA 27T
OCT SUNENERGY S.R.L.^50087900^Cluj^Municipiul Dej, DUMBRAVA ROŞIE 7
THE GOGANS PICTURES S.R.L.^51401201^Bucureşti^Bucureşti Sectorul 5, ANTIAERIANĂ 24A
UNGUREANU BEAUTY STUDIO S.R.L.^52473214^Iaşi^Sat Lupăria, Comuna Cotnari,  
LOGOPIT S.R.L.^50170923^Dolj^Sat Dranic, Comuna Dranic, ZORELELOR 1
HELVETICA QUALITY S.R.L.^30985523^Hunedoara^Municipiul Hunedoara, GEORGE ENESCU 20
SAFE MONEY CREDIT S.R.L.^53211416^Buzău^Municipiul Buzău, SPORTURILOR 97
TECHTREND S.R.L.^52129742^Mehedinţi^Municipiul Drobeta-Turnu Severin, PĂCII 3
RALUCA & MARIAN MACOVEI FOREST S.R.L.^42379253^Buzău^Sat Balta Tocila, Comuna Scorţoasa, BALTA TOCILA 48
KONCERTO PARTNERS S.R.L.^37933653^Bucureşti^Bucureşti Sectorul 1, PĂDUREA NEAGRĂ 19-33
MICART DESIGN S.R.L.^44950266^Ilfov^Sat Snagov, Comuna Snagov, PANSELUŢELOR 11A
AXU FLOR S.R.L.^49367884^Neamţ^Sat Zăneşti, Comuna Zăneşti, Morii 6
TRANS MĂDĂ SRL^22472330^Maramureş^Sat Satu Nou de Sus, Oraş Baia Sprie,  224
ALTRIAGI S.R.L.^39780017^Brăila^Municipiul Brăila, ANDREI COCOŞ 44
PRIME BUILDERS TEAM S.R.L.^44888849^Tulcea^Sat Jurilovca, Comuna Jurilovca, VIŞINA 2
MELISAGRO S.R.L.^36868620^Covasna^Sat Ghelinţa, Comuna Ghelinţa, GHELINŢA 1673
MSS RACING TEAM S.R.L.^43290064^Argeş^Municipiul Piteşti, DEPOZITELOR 2
SUNSET INVESTMENT SRL^21966654^Bucureşti^Bucureşti Sectorul 1, Str. MIHAIL MOXA 9
MSM AUTO SRL^23866945^Constanţa^Comuna Băneasa, Trandafirilor 123
C.I. EXPERTCONT OFFICE S.R.L.^46303673^Călăraşi^Municipiul Olteniţa, REPUBLICII 75
ABC ARTĂ AUTO S.R.L.^49470706^Argeş^Municipiul Piteşti, PODUL ÎNALT 1
GEPPETTO CASA DESIGN S.R.L.^46312663^Cluj^Municipiul Gherla, GÎRLEI 24
IOANA EURO PAN S.R.L.^46578020^Alba^Sat Răchita, Comuna Săsciori,  136A
TRAILING COMMA S.R.L.^52065266^Cluj^Municipiul Cluj-Napoca, DECEBAL 72
DIFFERENT IT CONSULTING SRL^22940172^Ilfov^Sat Roşu, Comuna Chiajna, CRINULUI 35A
DLS DANIEL CONSTRUCT S.R.L.^39481210^Bacău^Sat Târgu Trotuş, Comuna Târgu Trotuş, TÂRGU TROTUŞ 
CRIS-IVAN SERVICES SRL^34004198^Bucureşti^Bucureşti Sectorul 6, DRM. TIMONIERULUI 17
CTC HOLDING S.R.L.^47327620^Alba^Sat Drâmbar, Comuna Ciugud, Europei 18
PANDORF QUALITY CONTROL SRL^31048297^Argeş^Municipiul Piteşti, TRIVALE 9
RURAL DEVELOPMENT TORMAC SRL^31628499^Timiş^Sat Tormac, Comuna Tormac,  467
MICVASI TRANSPORT SRL^35103254^Bihor^Sat Ianoşda, Comuna Mădăras, IANOŞDA 159
ALPHA ENERGY SOLUTIONS S.R.L.^44218075^Bucureşti^Bucureşti Sectorul 4, POSTALIONULUI 93-95
CATHARSIS HOUSE S.R.L.^46667801^Bihor^Municipiul Oradea, TRAIAN BLAJOVICI 1F
TANIA SWEET SOUL SERVICES S.R.L.^48157418^Bucureşti^Bucureşti Sectorul 1, PARIS 20
VIDO LOGISTIC S.R.L.^40673391^Ilfov^Oraş Bragadiru, COLINEI 30A
BIJUTERIA GABRIEL S.R.L.^40272705^Cluj^Municipiul Cluj-Napoca, REGELE FERDINAND 22-26
CAVV.MICUTZU S.R.L.^50025036^Tulcea^Sat Luncaviţa, Comuna Luncaviţa, TRANDAFIRULUI 11
NEOBIZ SRL^18578377^Bihor^Municipiul Oradea, TRANSILVANIEI 17
MSM DESIGN S.R.L.^47733016^Satu Mare^Municipiul Satu Mare, GHEORGHE BARIŢIU 139
