DENUMIRE^CUI^ADR_JUDET^ADRESA
NEAGU BENIAMIN PERSOANĂ FIZICĂ AUTORIZATĂ^42307788^Prahova^Loc. Urlaţi, Oraş Urlaţi, 1 MAI 12F
TOROLI S.R.L.^49257300^Dolj^Sat Breasta, Comuna Breasta, I CONSTANTIN ARGETOIANU 42C
SIF EXPERT CONTABIL S.R.L.^43488771^Argeş^Municipiul Câmpulung, PIETROASA 9A
CENTRUL MEDICAL UROGEN S.R.L.^43994795^Gorj^Loc. Ursaţi, Municipiul Târgu Jiu, Ursaţi 85D
INCITE MEDICAL ENGINEERING S.R.L.^44554008^Bucureşti^Bucureşti Sectorul 5, INDEPENDENŢEI 54
BUDAȘCU VIORICA ÎNTREPRINDERE INDIVIDUALĂ^44839811^Prahova^Sat Ploieştiori, Comuna Blejoi, Orion 10
BENTARU TAXI S.R.L.^45164372^Braşov^Municipiul Braşov, ROZELOR 58
GRĂDINA CU MACI S.R.L.^45288834^Brăila^Sat Unirea, Comuna Unirea, BRUTĂRIEI 44
FUNIERU COSTINEL ADELIN PERSOANĂ FIZICĂ AUTORIZATĂ^45429399^Dolj^Sat Berbesu, Comuna Argetoaia, BERBEŞU 27
BREYVAN BARBER SHOP S.R.L.^45428520^Iaşi^Municipiul Iaşi, ŞAPTE OAMENI 15
ISB SMART CONSULTING S.R.L.^46891522^Vâlcea^Municipiul Râmnicu Vâlcea, OLĂNEŞTI 2
MIHOC ANNKE ANDREEA PERSOANĂ FIZICĂ AUTORIZATĂ^47196915^Timiş^Sat Dumbrăviţa, Comuna Dumbrăviţa, VALENTINA 11B
GABRIELA GLAMOUR ESTETIC S.R.L.^47633432^Argeş^Sat Mărăcineni, Comuna Mărăcineni, Florilor 192
LEXTECH SOLUTIONS S.R.L.^49332673^Iaşi^Municipiul Iaşi, Mircea cel Bătrân 7
PTERODACTILO PREST S.R.L.^49386754^Bucureşti^Bucureşti Sectorul 2, POIANA CU ALUNI 6
VATAMANU DUMITRU PERSOANĂ FIZICĂ AUTORIZATĂ^50218541^Bucureşti^Bucureşti Sectorul 1, BUCUREŞTII NOI 136
PURRFECT PIXELS S.R.L.^50903595^Bucureşti^Bucureşti Sectorul 2, Vasile Lascăr 143
BORDEIANU GEORGIANA - ALEXANDRA PERSOANĂ FIZICĂ AUTORIZATĂ^51721583^Sibiu^Municipiul Sibiu, AUTOGĂRII 12
MOISE TRADE S.R.L.^52097721^Dolj^Municipiul Craiova, BOBÎLNA 1
SOCIAL PULSE S.R.L.^52579038^Bucureşti^Bucureşti Sectorul 6, Taberei 80
ADEALEANDI S.R.L.^52723612^Bistriţa-Năsăud^Municipiul Bistriţa, Uverturii 10
CUATROFOLIO IMPEX SRL^5109760^Bucureşti^Bucureşti Sectorul 1, Str. JIULUI 4
DM BUSINESS SOLUTIONS SRL^16958566^Bucureşti^Bucureşti Sectorul 4, Aleea Dolina 2
SORI - BAR SRL^6080483^Arad^Municipiul Arad, Str. N. BALCESCU 2
SIBSTIL DOORS SRL^25411699^Sibiu^Municipiul Sibiu, Str. OŞTIRII 6
AMERICAN BEST CREDIT SRL^28267238^Suceava^Municipiul Suceava, Str. JEAN BART 1 C
VITTA SEBASTIAN FLORIN PERSOANĂ FIZICĂ AUTORIZATĂ^27379829^Braşov^Municipiul Braşov, Str. CASTELULUI 24
TEHNISOL SRL^18513823^Cluj^Municipiul Cluj-Napoca, Str. VLĂDEASA 39
BUTAN ANI ÎNTREPRINDERE INDIVIDUALĂ^32828436^Ialomiţa^Loc. Amara, Oraş Amara, MĂRĂŞEŞTI 14
FIRU CROITOR SRL^36477516^Hunedoara^Municipiul Orăştie, DEALUL MIC 84
ASPEN CONCEPT SRL^26596714^Ilfov^Loc. Voluntari, Oraş Voluntari, IASOMIEI 8
IUSTANDRE S.R.L.^36640531^Dâmboviţa^Municipiul Târgovişte, PROF. ALEXANDRU VASILESCU 4
MICROENDODONTIE SRL^38337128^Timiş^Sat Dumbrăviţa, Comuna Dumbrăviţa, LONDRA 12
PUZZLE EVENTS SRL^27963690^Tulcea^Municipiul Tulcea, Str. SĂLCIILOR 11A
BORDEA DIDA-TEODORA PERSOANĂ FIZICĂ AUTORIZATĂ^34873883^Brăila^Municipiul Brăila, 1 DECEMBRIE 1918 61
NATAN DEZMEMBRĂRI S.R.L.^39960000^Arad^Municipiul Arad, EFTIMIE MURGU 89
ILIUŢĂ RUGACI TRANS S.R.L.^38938829^Caraş-Severin^Sat Ilidia, Comuna Ciclova Română, ILIDIA 433
LEXMAT 2018 S.R.L.^39541230^Satu Mare^Municipiul Satu Mare, MARTIRILOR DEPORTAŢI 27B
DZ COMMUNICATIONS SOLUTIONS SRL^36035450^Bucureşti^Bucureşti Sectorul 3, VLAICU VODĂ 11
DETALII3D S.R.L.^37781180^Bucureşti^Bucureşti Sectorul 6, CALLATIS 6
